Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Rams,461,292,63.3,7,3209,15,12,148,32.1,38
Raiders,570,346,60.7,6.2,3526,21,21,189,33.2,43
Bills,495,281,56.8,6.2,3067,24,10,160,32.3,31
Patriots,531,314,59.1,6,3179,23,18,158,29.8,34
Bengals,454,287,63.2,7.2,3262,30,9,182,40.1,24
Colts,468,288,61.5,6.2,2917,19,10,148,31.6,36
Seahawks,555,321,57.8,6.2,3411,21,19,191,34.4,28
Packers,531,287,54,5.6,2987,24,24,143,26.9,43
Lions,591,371,62.8,7,4150,27,10,221,37.4,33
49ers,552,340,61.6,6.4,3506,23,19,188,34.1,32
Buccaneers,510,259,50.8,4.9,2490,10,31,131,25.7,43
Redskins,531,304,57.2,5.7,3033,19,14,155,29.2,40
Vikings,542,335,61.8,7.6,4103,33,16,198,36.5,27
Broncos,566,360,63.6,5.9,3337,15,9,176,31.1,40
Browns,513,299,58.3,6.4,3269,20,17,164,32,28
Steelers,573,336,58.6,6,3460,19,19,178,31.1,50
Giants,541,311,57.5,5.8,3119,17,11,162,29.9,37
Eagles,563,333,59.2,5.5,3094,18,15,160,28.4,56
Cardinals,535,335,62.6,7.2,3874,29,17,196,36.6,21
Bears,547,335,61.2,6.4,3530,24,9,185,33.8,35
Saints,593,343,57.8,6.4,3805,25,20,191,32.2,39
Chargers,607,375,61.8,7.1,4295,26,17,205,33.8,39
Titans,562,339,60.3,6.3,3540,27,18,197,35,40
Jets,551,359,65.2,6.3,3490,17,15,178,32.3,30
Falcons,514,285,55.4,6.4,3287,23,24,171,33.3,47
Ravens,573,360,62.8,6.3,3591,16,25,190,33.2,33
Chiefs,616,403,65.4,6.8,4181,27,18,227,36.8,34
Cowboys,574,334,58.2,6,3449,22,19,178,31,24
Panthers,522,293,56.1,5.7,2993,18,17,155,29.7,52
Jaguars,519,314,60.5,6.3,3264,19,14,188,36.2,36
Dolphins,520,294,56.5,6,3102,20,21,162,31.2,47
Texans,512,281,54.9,6.1,3141,23,10,155,30.3,35
