Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Saints,104,7025,28,26.9,74,24.5,0,0,2,0
Vikings,98,6242,5,5.1,91,22.6,0,0,1,0
Packers,97,6090,12,12.4,80,22.8,3,1,2,0
Chargers,97,6153,9,9.3,87,21.9,1,1,0,1
Eagles,94,6113,11,11.7,81,23.5,2,0,1,0
Patriots,91,6174,21,23.1,70,24.4,0,0,0,0
Giants,86,5345,6,7,77,21,2,0,1,0
Ravens,84,5398,4,4.8,77,20.3,0,0,1,0
Colts,83,5807,22,26.5,60,25.3,0,0,1,1
Texans,82,5432,10,12.2,71,22.5,1,0,1,0
Dolphins,82,5052,7,8.5,71,21.9,4,1,1,0
Jets,82,5431,10,12.2,70,24.1,0,0,1,2
Titans,81,5199,7,8.6,71,24.1,2,1,1,1
Steelers,81,4845,3,3.7,74,24.3,1,0,0,4
Cowboys,79,5206,29,36.7,47,20.6,3,0,0,0
Broncos,78,5332,28,35.9,49,22.8,1,0,0,1
Cardinals,78,4891,14,18,61,20.5,0,0,2,0
Falcons,76,5080,28,36.8,46,20.5,2,1,0,0
Bears,73,4797,8,11,64,24.2,0,0,1,0
Chiefs,73,4518,7,9.6,60,24.1,6,1,1,2
Niners,73,4822,6,8.2,65,21.8,1,0,1,1
Panthers,72,4803,21,29.2,51,24.8,1,0,0,1
Bills,69,4395,6,8.7,59,21.5,1,0,1,0
Bengals,69,4367,8,11.6,58,22.2,0,0,3,0
Seahawks,69,4685,22,31.9,46,23,1,1,0,0
Redskins,69,4227,8,11.6,56,19.7,3,0,2,0
Browns,65,3994,6,9.2,52,18.9,2,1,3,0
Jaguars,65,4290,17,26.2,47,22.7,1,0,1,1
Lions,64,4024,4,6.2,58,23.3,2,0,1,1
Raiders,59,3894,17,28.8,42,25.7,0,0,0,1
Buccaneers,58,3575,9,15.5,46,19.1,3,2,0,0
Rams,53,3471,8,15.1,43,24,2,0,1,1
