Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Redskins,540,2049,3.8,21,11,1,65T,107,19.8,9
Jets,523,2160,4.1,17,8,2,58,133,25.4,11
Chiefs,521,2217,4.3,14,10,1,48,127,24.4,11
Broncos,507,2015,4,16,12,3,63,117,23.1,11
Bills,505,2381,4.7,16,16,2,78T,128,25.4,10
Bears,502,1949,3.9,18,7,1,42T,120,23.9,11
Giants,487,2064,4.2,16,11,2,47,120,24.6,14
Saints,483,1709,3.5,15,8,2,65T,93,19.2,11
Vikings,464,2201,4.7,18,11,4,71,125,26.9,6
Chargers,464,2248,4.8,16,13,2,63,114,24.6,9
Lions,454,1930,4.2,19,15,6,69T,116,25.6,14
Bengals,449,1811,4,11,10,1,75,96,21.4,15
Raiders,446,1706,3.8,8,2,0,26,96,21.5,10
Eagles,446,1396,3.1,8,4,0,28,86,19.3,11
49ers,440,1861,4.2,19,7,1,53T,112,25.4,20
Cowboys,433,1711,4,15,8,2,75,89,20.6,6
Patriots,433,1467,3.4,9,6,0,24,93,21.5,12
Falcons,410,1664,4.1,6,7,0,36,82,20,10
Steelers,394,1627,4.1,8,6,1,56T,82,20.8,13
Seahawks,394,1426,3.6,11,6,1,42,80,20.3,8
Cardinals,391,1295,3.3,6,6,0,22,73,18.7,8
Browns,389,1360,3.5,12,3,2,52T,82,21.1,9
Rams,388,1285,3.3,11,3,0,36,75,19.3,12
Packers,381,1389,3.6,12,8,2,48,88,23.1,14
Dolphins,379,1352,3.6,8,4,0,24T,91,24,8
Buccaneers,371,1429,3.8,9,6,2,64,79,21.3,9
Colts,354,1169,3.3,3,5,1,44,55,15.5,12
Oilers,331,1366,4.1,16,7,0,39T,99,29.9,12
