Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Bears,223,73,13,8,100,22,1036
Falcons,210,78,21,11,105,21.8,1042
Panthers,226,96,14,7,100,21.2,1032
Ravens,224,82,13,7,69,15.5,968
Chiefs,208,65,11,2,104,21.6,980
Raiders,210,82,11,6,121,24.9,952
Eagles,218,81,13,3,80,19.8,979
Jets,211,89,10,8,128,24.8,1016
Redskins,218,78,17,10,89,22.8,1026
Rams,201,78,10,6,105,23.6,999
Steelers,215,87,19,6,74,20.5,933
Niners,241,97,13,7,94,18.6,1078
Jaguars,201,80,23,11,92,23.6,970
Giants,211,73,16,10,83,20.3,984
Dolphins,208,98,10,6,129,23.7,983
Titans,230,97,16,8,80,21.7,978
Seahawks,232,88,17,5,78,18.5,1035
Saints,206,86,19,7,80,19.6,964
Chargers,211,83,26,9,89,21.4,1013
Buccaneers,224,92,16,9,93,20.5,977
Bengals,201,86,17,9,98,21.8,1011
Browns,215,79,25,11,100,21.7,1066
Colts,208,94,25,14,111,24.4,980
Cardinals,218,87,15,7,90,22.1,1013
Packers,209,69,24,9,77,18.2,994
Vikings,234,94,18,7,67,17.7,1063
Cowboys,216,85,18,10,86,22.6,1008
Broncos,213,91,13,10,119,23.8,992
Bills,224,101,22,10,104,22.9,1047
Texans,198,83,16,8,107,25.7,994
Patriots,187,63,20,11,91,25.3,933
Lions,213,97,12,9,116,25.9,1087
