Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Bills,549,2436,4.4,18,13,4,64T,133,24.2,12
Steelers,518,2156,4.2,13,16,2,69,119,23,13
Eagles,516,2388,4.6,19,17,0,38,138,26.7,15
Cowboys,500,2121,4.2,20,10,2,68T,119,23.8,5
Vikings,497,2030,4.1,19,7,2,51,115,23.1,17
Chargers,489,1875,3.8,18,6,0,33T,118,24.1,13
Redskins,483,1727,3.6,10,4,0,33,104,21.5,1
49ers,482,2315,4.8,22,14,2,43,135,28,15
Giants,458,2077,4.5,20,9,1,63T,120,26.2,8
Bengals,454,1976,4.4,11,11,2,53T,112,24.7,14
Saints,454,1628,3.6,10,5,0,25,92,20.3,8
Browns,451,1607,3.6,7,7,0,37,85,18.8,4
Chiefs,446,1532,3.4,14,5,1,44T,87,19.5,9
Buccaneers,438,1706,3.9,12,4,0,25,100,22.8,11
Raiders,434,1794,4.1,7,10,2,66,99,22.8,8
Bears,427,1871,4.4,15,7,1,49T,101,23.6,12
Jets,424,1752,4.1,8,8,0,32T,94,22.2,12
Packers,420,1555,3.7,7,3,1,44,101,24,17
Patriots,419,1550,3.7,6,8,0,36,71,17,20
Dolphins,407,1525,3.8,9,5,0,23,101,24.8,10
Broncos,403,1500,3.7,11,7,2,67T,84,20.8,7
Seahawks,402,1596,4,4,8,1,52,77,19.2,13
Cardinals,395,1491,3.8,11,2,1,42T,88,22.3,7
Rams,393,1659,4.2,12,13,3,71,83,21.1,13
Colts,379,1102,2.9,8,2,0,36T,70,18.5,12
Lions,378,1644,4.4,9,10,3,55T,83,22,16
Oilers,353,1626,4.6,10,5,2,44,101,28.6,9
Falcons,322,1270,3.9,3,7,0,32,67,20.8,8
