Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Bills,241,101,15,2,149,51.6,105,21.6,1010
Broncos,241,94,20,7,180,54.2,92,20.1,1075
49ers,234,91,18,8,206,56.9,88,21.6,1058
Cardinals,233,82,16,7,200,59,66,16.1,1059
Eagles,230,96,26,17,193,56.6,108,22.8,1073
Colts,228,87,17,8,148,51.9,94,20.8,994
Jets,228,81,13,7,157,48.6,77,18,984
Jaguars,227,85,13,10,193,61.1,101,19.2,1078
Giants,227,74,21,8,178,47.7,66,16.8,1036
Ravens,223,76,16,10,168,46.3,111,24.1,1054
Panthers,222,93,11,5,166,56.7,121,24.7,1026
Browns,216,73,23,12,157,50.3,97,25.3,1008
Vikings,216,94,7,1,196,54.9,100,20,1055
Rams,214,88,12,5,185,57.8,97,21.4,1000
Seahawks,212,79,9,5,183,53.8,85,20.8,1007
Packers,211,83,28,15,176,50,99,25.6,999
Lions,209,81,9,1,210,56.2,58,16,980
Texans,209,76,10,5,180,60.2,86,19.2,1027
Steelers,209,92,8,3,217,56.5,96,22,1051
Chargers,209,84,11,5,220,60.1,84,20,1020
Bears,205,71,18,7,144,49.5,93,22,934
Raiders,204,82,24,8,178,51.3,78,21.1,952
Redskins,204,66,16,9,191,55,66,16.5,982
Cowboys,203,87,19,10,162,52.4,127,26.5,1005
Titans,202,71,10,5,157,51.3,97,21.9,974
Dolphins,202,64,24,7,187,50.1,66,18.3,995
Patriots,202,82,13,8,231,59.4,107,23.9,1070
Bengals,199,67,12,5,165,54.3,72,19.1,927
Chiefs,199,78,10,3,198,54.6,95,23.5,985
Falcons,197,88,13,4,200,58.3,101,23.5,984
Buccaneers,196,85,8,4,243,64.3,76,19.5,1034
Saints,194,73,15,12,201,52.1,111,25,1000
