Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Bills,546,2307,4.2,15,11,5,77,113,20.7,12
Seahawks,509,2188,4.3,14,11,1,43,116,22.8,6
Niners,505,2201,4.4,18,20,3,51,115,22.8,7
Eagles,500,2566,5.1,19,19,5,65,133,26.6,5
Jets,493,2158,4.4,12,14,2,69T,105,21.3,7
Chargers,486,1965,4,9,7,2,51T,103,21.2,5
Panthers,483,2026,4.2,14,10,2,56T,122,25.3,3
Bengals,481,1755,3.6,14,5,0,35,101,21,7
Patriots,470,2065,4.4,19,12,2,47T,109,23.2,10
Titans,462,1894,4.1,16,11,0,39,103,22.3,8
Broncos,461,1873,4.1,16,9,1,45T,107,23.2,10
Packers,459,2136,4.6,17,11,5,67,118,25.7,7
Redskins,453,2164,4.8,14,16,1,45,112,24.7,11
Lions,445,1792,4,15,8,0,39T,105,23.6,19
Chiefs,442,2056,4.6,17,13,1,46,110,24.9,8
Raiders,437,2000,4.6,16,18,3,93,90,20.6,7
Rams,426,1752,4.1,10,11,4,65,82,19.2,6
Ravens,423,1328,3.1,7,5,1,47,68,16.1,2
Vikings,423,2081,4.9,23,16,5,78,105,24.8,9
Cardinals,422,1540,3.6,12,10,1,80T,84,19.9,7
Buccaneers,420,1612,3.8,6,9,2,80,75,17.9,6
Texans,414,1743,4.2,7,7,1,60T,89,21.5,5
Colts,409,1743,4.3,15,11,2,51,88,21.5,3
Bears,404,1828,4.5,13,13,5,55T,102,25.2,4
Steelers,394,1383,3.5,9,7,1,43,81,20.6,6
Saints,391,1473,3.8,10,7,0,38,87,22.2,1
Giants,381,1332,3.5,11,4,1,49,77,20.2,12
Jaguars,378,1260,3.3,7,7,2,48T,71,18.8,5
Dolphins,349,1440,4.1,8,8,4,55T,61,17.5,5
Browns,348,1383,4,4,9,2,45T,77,22.1,2
Cowboys,336,1504,4.5,12,9,4,45,80,23.8,5
Falcons,321,1247,3.9,11,6,2,50,64,19.9,1
