Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Giants,519,309,59.5,6.6,3412,25,10,178,34.3,45
Rams,510,296,58,6,3072,23,24,164,32.2,42
Buccaneers,475,274,57.7,5.7,2710,16,20,140,29.5,36
Lions,522,331,63.4,6.8,3578,26,15,166,31.8,28
Colts,445,277,62.2,6.3,2809,18,15,138,31,31
Patriots,618,328,53.1,5.2,3232,11,29,177,28.6,41
Chiefs,565,332,58.8,6,3363,19,25,184,32.6,36
Saints,485,264,54.4,6.2,2993,20,14,165,34,32
Cardinals,497,311,62.6,7.2,3589,29,13,184,37,21
Steelers,484,294,60.7,6.3,3042,20,14,155,32,35
Redskins,483,285,59,6.6,3195,23,17,176,36.4,27
Chargers,524,322,61.4,6.4,3375,36,13,178,34,30
Raiders,467,286,61.2,7.3,3394,21,14,159,34,25
Seahawks,573,343,59.9,6.1,3480,24,16,183,31.9,40
Bengals,508,297,58.5,6.7,3402,23,14,177,34.8,30
Vikings,531,311,58.6,6.6,3477,17,28,186,35,37
Bears,525,326,62.1,5.9,3082,20,15,156,29.7,18
Jaguars,510,303,59.4,6.4,3251,23,15,172,33.7,24
49ers,514,310,60.3,6.3,3238,25,23,165,32.1,42
Cowboys,492,239,48.6,5.4,2631,18,13,127,25.8,32
Browns,502,297,59.2,5.7,2846,13,15,160,31.9,35
Bills,508,285,56.1,5.3,2707,18,10,153,30.1,38
Titans,546,332,60.8,6.6,3606,20,21,167,30.6,38
Jets,455,281,61.8,6.6,3025,14,11,168,36.9,35
Eagles,559,337,60.3,5.8,3236,17,13,171,30.6,38
Broncos,495,265,53.5,5.7,2828,17,9,141,28.5,36
Packers,589,326,55.4,5.8,3400,18,21,172,29.2,34
Falcons,508,323,63.6,7.5,3800,28,15,187,36.8,36
Panthers,522,299,57.3,5.8,3003,19,16,161,30.8,40
Dolphins,529,319,60.3,6.3,3335,12,22,171,32.3,44
Texans,502,297,59.2,7.4,3712,22,14,179,35.7,19
Ravens,531,296,55.7,5.3,2805,19,24,144,27.1,47
