Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Vikings,409,4570,11.2,18,55,8,65,215,52.6,10
Patriots,405,4583,11.3,25,52,3,62,243,60,4
Dolphins,392,4533,11.6,31,57,7,64,220,56.1,4
Broncos,388,4383,11.3,18,51,14,76,202,52.1,5
Packers,375,3977,10.6,33,45,4,49,205,54.7,3
Falcons,374,4344,11.6,25,48,8,85,218,58.3,2
Chiefs,366,4092,11.2,20,49,8,62,211,57.6,5
Saints,366,4027,11,22,39,5,78,203,55.5,1
49ers,359,4362,12.2,37,53,9,69,210,58.5,3
Bills,342,3714,10.9,23,37,4,83,181,52.9,4
Eagles,316,3736,11.8,18,45,10,93,168,53.2,2
Jets,310,3323,10.7,18,35,3,69,164,52.9,1
Bears,308,3230,10.5,19,33,6,85,165,53.6,2
Chargers,305,3619,11.9,20,44,9,99,181,59.3,0
Rams,291,3597,12.4,23,42,10,72,163,56,2
Bengals,289,3541,12.2,21,44,14,76T,158,54.7,1
Cardinals,287,3284,11.4,11,33,7,63,169,58.9,4
Cowboys,282,3461,12.3,19,41,11,90T,160,56.7,4
Raiders,281,3556,12.6,22,43,9,77,158,56.2,3
Oilers,274,3216,11.7,13,34,6,81T,158,57.7,3
Buccaneers,271,3436,12.7,17,40,13,71,149,55,2
Redskins,271,3524,13,25,57,8,81,166,61.2,2
Browns,266,3269,12.3,20,42,9,81,161,60.5,6
Steelers,266,3247,12.2,17,40,10,84,148,55.6,3
Seahawks,253,2809,11.1,13,36,4,51,143,56.5,5
Lions,250,3085,12.3,24,35,3,51,164,65.6,5
Giants,226,2847,12.6,16,39,10,55T,136,60.2,0
Colts,217,2519,11.6,15,30,3,85T,126,58.1,4
