Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Patriots,699,405,57.9,6.6,4583,25,27,73.5,243,34.8,52,3,62T,22,139
Vikings,673,409,60.8,6.8,4570,18,20,77.6,215,32,55,8,65T,31,246
Falcons,629,374,59.5,6.9,4344,25,25,77.1,218,34.7,48,8,85T,37,232
Dolphins,627,392,62.5,7.2,4533,31,18,88.8,220,35.1,57,7,64T,18,113
Broncos,626,388,62,7,4383,18,13,83.8,202,32.3,51,14,76,55,366
Chiefs,615,366,59.5,6.6,4092,20,14,80.8,211,34.3,49,8,62,19,132
Packers,609,375,61.6,6.5,3977,33,14,89.1,205,33.7,45,4,49,33,204
Saints,569,366,64.3,7.1,4027,22,18,84.9,203,35.7,39,5,78T,24,181
Eagles,566,316,55.8,6.6,3736,18,14,76.4,168,29.7,45,10,93,48,372
Oilers,554,274,49.5,5.8,3216,13,17,62.5,158,28.5,34,6,81T,65,417
Redskins,546,271,49.6,6.4,3524,25,27,65,166,30.4,57,8,81,21,146
Bills,542,342,63.1,6.8,3714,23,21,81.2,181,33.4,37,4,83T,41,301
Bengals,542,289,53.3,6.5,3541,21,19,72,158,29.2,44,14,76T,44,305
Jets,539,310,57.5,6.2,3323,18,18,72.9,164,30.4,35,3,69T,28,186
Cardinals,538,287,53.4,6.1,3284,11,19,64.1,169,31.4,33,7,63,34,237
Chargers,522,305,58.4,6.9,3619,20,14,81.3,181,34.7,44,9,99T,29,251
Rams,512,291,56.8,7,3597,23,18,79,163,31.8,42,10,72T,35,239
49ers,511,359,70.2,8.5,4362,37,11,111.4,210,41.1,53,9,69T,35,199
Browns,507,266,52.5,6.4,3269,20,21,68.6,161,31.8,42,9,81T,14,94
Bears,502,308,61.4,6.4,3230,19,16,79.4,165,32.9,33,6,85,25,139
Seahawks,498,253,50.8,5.6,2809,13,9,69.1,143,28.7,36,4,51T,40,241
Buccaneers,491,271,55.2,7,3436,17,16,75.2,149,30.4,40,13,71T,30,171
Raiders,488,281,57.6,7.3,3556,22,16,81.8,158,32.4,43,9,77,50,289
Steelers,463,266,57.4,7,3247,17,9,83.3,148,32,40,10,84,39,283
Lions,459,250,54.5,6.7,3085,24,14,80.2,164,35.7,35,3,51T,26,163
Cowboys,448,282,63,7.7,3461,19,14,87.8,160,35.7,41,11,90T,20,93
Giants,405,226,55.8,7,2847,16,18,72.5,136,33.6,39,10,55T,46,285
Colts,376,217,57.7,6.7,2519,15,14,75.9,126,33.5,30,3,85T,28,166
