Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Harrison Butker,34,38,89.5,0/0,9/9,9/10,13/13,3/6,0/0,56,1
Josh Lambo,33,34,97.1,0/0,12/12,9/9,8/9,4/4,0/0,56,0
Wil Lutz,32,36,88.9,1/1,9/9,6/6,13/15,3/5,0/0,58,0
Zane Gonzalez,31,35,88.6,0/0,12/12,12/13,5/8,2/2,0/0,54,1
Chris Boswell,29,31,93.6,1/1,11/11,7/7,9/10,1/2,0/0,51,0
Brandon McManus,29,34,85.3,0/0,6/6,9/9,10/12,4/6,0/1,53,0
Justin Tucker,28,29,96.6,0/0,8/8,9/9,10/11,1/1,0/0,51,0
Dan Bailey,27,29,93.1,0/0,10/10,9/9,5/7,3/3,0/0,50,0
Randy Bullock,27,31,87.1,0/0,10/10,6/6,10/12,1/3,0/0,57,0
Matt Gay,27,35,77.1,0/0,6/6,5/7,11/14,5/8,0/0,58,1
Matt Prater,26,31,83.9,0/0,11/11,2/3,6/9,7/8,0/0,56,1
Dustin Hopkins,25,30,83.3,0/0,7/8,8/9,8/10,2/3,0/0,53,1
Austin Seibert,25,29,86.2,0/0,6/6,9/9,9/12,1/2,0/0,53,0
Joey Slye,25,32,78.1,0/0,4/5,5/5,8/11,8/10,0/1,55,1
Greg Zuerlein,24,33,72.7,0/0,7/7,7/8,5/11,5/7,0/0,58,1
Robbie Gould,23,31,74.2,0/0,9/9,8/10,6/8,0/4,0/0,47,2
Younghoe Koo,23,26,88.5,0/0,6/6,9/10,7/9,1/1,0/0,50,0
Jason Myers,23,28,82.1,0/0,6/6,11/11,4/7,2/4,0/0,54,0
Eddy Pineiro,23,28,82.1,1/1,8/8,9/10,3/7,2/2,0/0,53,0
Jason Sanders,23,30,76.7,0/0,7/7,8/9,5/9,3/5,0/0,54,0
Mason Crosby,22,24,91.7,1/1,2/2,11/11,7/8,1/2,0/0,54,0
Jake Elliott,22,26,84.6,0/0,7/7,8/8,5/7,2/4,0/0,53,0
Steven Hauschka,22,28,78.6,0/0,5/5,7/8,9/10,1/4,0/1,51,0
Ka'imi Fairbairn,20,25,80,0/0,5/5,8/8,4/6,3/6,0/0,54,0
Brett Maher,20,30,66.7,0/0,9/9,6/8,1/5,2/6,2/2,63,1
Daniel Carlson,19,26,73.1,0/0,8/8,5/6,6/10,0/2,0/0,48,0
Sam Ficken,19,27,70.4,0/0,2/2,7/8,7/11,3/6,0/0,54,1
Chase McLaughlin,18,23,78.3,1/1,5/5,4/4,5/10,3/3,0/0,50,1
Adam Vinatieri,17,25,68,0/0,6/7,6/6,3/7,2/5,0/0,55,2
Nick Folk,14,17,82.4,1/1,5/5,3/3,4/7,1/1,0/0,51,1
Mike Badgley,13,16,81.2,0/0,5/5,2/2,6/8,0/1,0/0,49,0
Aldrick Rosas,12,17,70.6,0/0,6/6,5/6,1/4,0/1,0/0,45,0
Kai Forbath,11,11,100,0/0,2/2,1/1,7/7,1/1,0/0,50,0
Matt Bryant,9,14,64.3,0/0,1/1,3/4,3/3,2/6,0/0,52,0
Stephen Gostkowski,7,8,87.5,0/0,3/3,3/3,1/2,0/0,0/0,41,0
Ty Long,7,9,77.8,0/0,0/0,2/3,4/5,1/1,0/0,51,0
Mike Nugent,5,8,62.5,0/0,3/4,2/3,0/1,0/0,0/0,37,1
Cairo Santos,4,9,44.4,0/0,0/0,1/3,2/3,1/3,0/0,53,1
Cody Parkey,3,3,100,0/0,0/0,0/0,2/2,1/1,0/0,51,0
Ryan Succop,1,6,16.7,0/0,0/0,1/1,0/4,0/1,0/0,31,1
Greg Joseph,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Kaare Vedvik,0,1,0,0/0,0/0,0/0,0/1,0/0,0/0,0,0
