Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Jets,629,339,53.9,6.2,3911,22,30,64.7,191,30.4,42,10,78,41,286
Patriots,628,374,59.6,6.5,4091,27,15,83.2,206,32.8,45,3,84T,30,190
Cardinals,613,336,54.8,6.4,3917,23,21,72.6,214,34.9,50,5,69T,36,229
Falcons,600,356,59.3,6.5,3909,26,30,72.3,202,33.7,44,10,67,42,254
Chargers,577,314,54.4,6.3,3654,23,21,71.9,168,29.1,43,11,63T,33,296
Ravens,570,335,58.8,7.5,4274,34,20,87.6,208,36.5,59,10,86T,38,296
Bengals,563,316,56.1,6.6,3726,25,16,79.4,190,33.8,36,11,61T,47,294
Vikings,561,331,59,7,3899,24,19,80.4,186,33.2,46,9,82,34,241
Jaguars,557,353,63.4,7.8,4367,19,20,84,208,37.3,40,13,62,50,257
Bears,551,318,57.7,6.1,3350,19,18,73.4,176,31.9,35,4,58,23,165
49ers,550,358,65.1,7,3859,24,16,88,188,34.2,40,6,52T,42,200
Packers,548,328,59.8,7.2,3938,39,13,95.7,197,36,50,11,80T,40,241
Eagles,548,328,59.8,7.3,3979,19,18,80.1,196,35.8,48,6,62,39,234
Lions,541,309,57.1,6.4,3463,20,21,72.5,180,33.3,38,3,62T,46,260
Colts,537,311,57.9,6.6,3544,16,11,79.2,172,32,42,6,51,43,248
Broncos,536,327,61,6.8,3662,26,17,84.3,180,33.6,46,6,51,31,233
Raiders,533,311,58.4,6.2,3327,28,19,79.4,172,32.3,36,6,62,45,249
Chiefs,530,290,54.7,5.8,3093,18,14,72.3,168,31.7,37,4,69,27,203
Saints,515,295,57.3,6,3069,13,17,69.3,135,26.2,35,7,57T,22,171
Dolphins,504,300,59.5,7.5,3783,22,11,88.4,173,34.3,54,11,74T,36,240
Seahawks,494,261,52.8,6.5,3216,14,17,68.4,147,29.8,39,11,80,38,189
Buccaneers,494,274,55.5,6,2944,12,20,64.4,152,30.8,33,3,45,30,217
Panthers,487,273,56.1,6.8,3333,22,11,83,160,32.8,41,5,55T,36,250
Cowboys,487,307,63,6.7,3249,12,14,78.6,163,33.5,33,5,61,19,127
Bills,483,279,57.8,7.4,3558,18,24,72.6,149,30.8,48,10,95,48,340
Rams,481,249,51.8,6.5,3144,18,23,65,141,29.3,38,9,77,57,379
Redskins,471,270,57.3,7.3,3453,12,11,79.2,174,36.9,50,6,52T,22,134
Oilers,463,272,58.8,7.1,3296,22,15,83,157,33.9,36,8,83,34,198
Giants,459,238,51.8,5.8,2663,14,21,60.6,145,31.6,24,0,37,56,324
Steelers,456,246,54,6.6,2990,15,19,68,146,32,36,7,70T,21,149
