Player,FF,FR,FR TD
Carl Barisich,0,1,0
Mike Barnes,0,0,0
Bob Baumhower,0,4,0
Matt Blair,0,1,0
Eddie Cole,0,0,0
Bob Glazebrook,0,0,0
Ted Hendricks,0,4,0
Randy Holloway,0,1,0
Derrick Jensen,0,0,0
Ken Johnson,0,0,0
Rulon Jones,0,1,0
Frank Marion,0,0,0
Steve Nelson,0,1,0
McDonald Oden,0,0,0
Jim Osborne,0,2,0
Alan Page,0,2,1
Bob Pollard,0,1,0
Elex Price,0,0,0
Don Reese,0,1,1
Joe Senser,0,0,0
Bill Simpson,0,1,0
Jim Stuckey,0,0,0
Loren Toews,0,0,0
Mike White,0,0,0
Joel Williams,0,2,1
Mike Williams,0,0,0
Reggie Williams,0,1,0
Jack Youngblood,0,0,0
