Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Colts,543,320,58.9,6.8,3669,27,12,175,32.2,41
Saints,546,341,62.4,7.4,4019,26,12,205,37.6,34
Falcons,566,359,63.4,7.9,4478,20,16,224,39.6,22
Raiders,538,343,63.8,7.1,3810,29,9,190,35.3,22
Eagles,591,345,58.4,7.2,4238,30,12,211,35.7,49
Steelers,543,350,64.5,7.5,4049,30,11,193,35.5,33
Bears,548,366,66.8,7.7,4230,34,14,227,41.4,39
Patriots,574,342,59.6,6.7,3837,24,16,196,34.2,40
Broncos,641,399,62.2,5.6,3607,29,18,219,34.2,41
Giants,522,324,62.1,7.4,3850,25,17,187,35.8,47
Lions,592,383,64.7,6.3,3706,23,20,209,35.3,42
Dolphins,537,338,62.9,6.6,3557,27,14,194,36.1,39
Bills,559,337,60.3,5.9,3292,16,19,171,30.6,54
Chargers,524,320,61.1,6.5,3427,24,7,168,32.1,26
Cardinals,579,365,63,7.2,4152,22,18,195,33.7,35
Jaguars,541,355,65.6,7.2,3899,24,6,200,37,45
Ravens,595,382,64.2,6.7,3979,22,11,205,34.4,49
Redskins,519,345,66.5,7.7,3990,35,7,195,37.6,36
Panthers,562,364,64.8,6.5,3645,25,14,193,34.3,40
Packers,564,333,59,6.4,3623,26,18,196,34.8,41
Buccaneers,563,387,68.7,7.2,4084,28,14,223,39.6,36
Vikings,534,353,66.1,6.7,3572,26,13,189,35.4,41
Rams,540,368,68.2,7.2,3861,18,13,189,35,40
Titans,545,347,63.7,6.9,3773,28,12,211,38.7,39
Bengals,608,365,60,6.4,3888,18,20,197,32.4,20
Browns,587,335,57.1,6.1,3592,22,21,184,31.4,31
Jets,538,345,64.1,7,3746,31,6,194,36.1,45
Chiefs,545,318,58.4,6,3252,22,6,184,33.8,46
Niners,551,324,58.8,6.4,3531,29,23,188,34.1,36
Texans,619,363,58.6,6.3,3890,28,20,206,33.3,38
Cowboys,558,371,66.5,7.2,4031,22,18,195,35,28
Seahawks,507,313,61.7,5.9,2970,17,13,175,34.5,37
