Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Jets,517,265,51.3,5.7,2932,17,21,152,29.4,40
Packers,557,307,55.1,6.2,3451,28,21,186,33.4,38
Rams,534,323,60.5,7.1,3797,32,19,195,36.5,51
49ers,558,320,57.4,7,3915,25,13,194,34.8,38
Chiefs,549,358,65.2,6.3,3471,25,15,201,36.6,51
Chargers,552,326,59.1,6.4,3537,33,16,195,35.3,39
Eagles,552,314,56.9,5.4,2990,11,19,159,28.8,50
Colts,530,317,59.8,6.5,3422,22,14,177,33.4,42
Broncos,574,310,54,6.9,3946,26,27,189,32.9,44
Panthers,552,352,63.8,6.7,3712,19,17,184,33.3,27
Patriots,544,321,59,6.5,3522,23,10,184,33.8,29
Redskins,462,254,55,5.7,2621,12,17,134,29,45
Cardinals,459,296,64.5,6.8,3128,19,10,175,38.1,25
Bills,480,283,59,6,2867,18,16,153,31.9,42
Jaguars,458,258,56.3,6.9,3160,23,12,144,31.4,40
Bears,530,332,62.6,6.4,3407,25,11,172,32.4,36
Giants,585,327,55.9,5.8,3390,23,20,181,30.9,44
Falcons,515,306,59.4,7,3624,23,15,175,34,31
Seahawks,489,309,63.2,8,3937,23,17,185,37.8,27
Ravens,528,295,55.9,5.7,2997,11,23,135,25.6,35
Lions,544,311,57.2,5.9,3210,16,25,159,29.2,28
Saints,488,285,58.4,6.3,3071,17,20,159,32.6,66
Vikings,584,369,63.2,6.7,3913,23,8,208,35.6,31
Browns,486,262,53.9,6.5,3138,18,12,169,34.8,42
Raiders,588,359,61,6.3,3698,25,21,202,34.4,43
Titans,466,242,51.9,5.2,2423,10,17,134,28.8,55
Bengals,538,318,59.1,6.6,3562,26,9,182,33.8,26
Cowboys,458,277,60.5,5.9,2693,20,16,145,31.7,25
Steelers,521,280,53.7,5.8,3020,13,17,153,29.4,39
Buccaneers,594,339,57.1,5.3,3152,15,25,180,30.3,55
Dolphins,530,282,53.2,5.5,2900,13,28,156,29.4,48
