Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Ravens,679,439,64.6,6.4,4343,20,16,82.6,205,30.2,40,11,95T,33,243
Saints,674,472,70,7.8,5258,38,15,102.5,265,39.3,71,11,98,27,184
Cardinals,646,383,59.3,6.8,4425,28,17,83.5,229,35.4,51,6,80,41,289
Jaguars,626,369,59,6.3,3925,24,16,79.5,207,33.1,44,4,51,34,197
Packers,620,403,65,7.2,4445,40,8,102.2,222,35.8,57,10,66T,35,246
Eagles,609,380,62.4,6.2,3798,16,14,79.2,192,31.5,39,6,73T,33,213
Redskins,607,407,67,8.2,4948,25,12,97.4,226,37.2,70,13,80T,23,190
Giants,598,377,63,6.7,4027,26,16,86,190,31.8,46,11,75T,22,148
Raiders,596,379,63.6,6.9,4137,29,7,95.3,198,33.2,51,8,75,18,86
Steelers,596,381,63.9,7.3,4377,33,15,93.9,210,35.2,64,10,72T,21,175
Lions,594,388,65.3,7.3,4327,24,10,93.3,217,36.5,52,10,73T,37,216
Vikings,588,414,70.4,7,4119,20,5,97.7,209,35.5,52,8,71T,38,283
Colts,584,370,63.4,7.7,4491,32,15,94.5,220,37.7,63,8,64T,44,289
Texans,583,347,59.5,5.9,3418,15,16,73.2,173,29.7,34,4,53,32,242
Chargers,580,349,60.2,7.6,4386,33,21,87.6,214,36.9,57,16,59,36,188
Buccaneers,578,355,61.4,7.2,4165,29,18,87,220,38.1,43,4,45T,35,239
Broncos,570,339,59.5,6.9,3914,20,11,83.9,181,31.8,40,8,76T,40,229
Browns,567,338,59.6,6.5,3693,15,14,77.4,181,31.9,44,9,58,66,429
Seahawks,567,368,64.9,7.8,4422,23,12,93.4,203,35.8,54,12,59T,42,298
Panthers,563,306,54.4,7,3962,21,19,75.1,194,34.5,49,9,88T,36,277
Bengals,563,364,64.6,7.5,4206,18,8,91.8,204,36.2,53,13,86T,41,264
Bears,559,347,62.1,7.4,4139,19,19,81.8,212,37.9,49,4,64T,28,170
Patriots,550,368,66.9,8.1,4456,32,2,109.5,203,36.9,56,9,79,24,148
Jets,550,311,56.6,6.6,3645,16,25,67.6,166,30.2,48,10,69T,35,179
Chiefs,546,365,66.8,7.2,3914,19,8,93.2,197,36.1,46,9,80,32,174
Falcons,537,374,69.6,9.2,4960,38,7,116.8,239,44.5,69,17,76T,37,235
Rams,536,312,58.2,6.2,3313,14,20,69.5,151,28.2,43,9,66T,49,362
Titans,504,307,60.9,7.4,3720,29,11,93.7,175,34.7,53,8,60T,28,179
49ers,491,287,58.4,6.4,3166,21,10,83.4,152,31,35,6,75,47,255
Cowboys,483,325,67.3,7.9,3799,25,6,103,191,39.5,39,8,83,28,168
Dolphins,477,316,66.2,7.8,3716,27,15,95.5,167,35,46,15,74,30,216
Bills,474,286,60.3,6.9,3250,17,7,86.7,155,32.7,35,8,84T,46,214
