Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Saints,472,5258,11.1,38,71,11,98,265,56.1,7
Ravens,439,4343,9.9,20,40,11,95,205,46.7,2
Vikings,414,4119,10,20,52,8,71,209,50.5,1
Redskins,407,4948,12.2,25,70,13,80,226,55.5,4
Packers,403,4445,11,40,57,10,66,222,55.1,6
Lions,388,4327,11.2,24,52,10,73,217,55.9,1
Cardinals,383,4425,11.6,28,51,6,80,229,59.8,5
Steelers,381,4377,11.5,33,64,10,72,210,55.1,1
Eagles,380,3798,10,16,39,6,73,192,50.5,3
Raiders,379,4137,10.9,29,51,8,75,198,52.2,4
Giants,377,4027,10.7,26,46,11,75,190,50.4,7
Falcons,374,4960,13.3,38,69,17,76,239,63.9,1
Colts,370,4491,12.1,32,63,8,64,220,59.5,4
Jaguars,369,3925,10.6,24,44,4,51,207,56.1,2
Patriots,368,4456,12.1,32,56,9,79,203,55.2,3
Seahawks,368,4422,12,23,54,12,59,203,55.2,6
Chiefs,365,3914,10.7,19,46,9,80,197,54,5
Bengals,364,4206,11.6,18,53,13,86,204,56,4
Buccaneers,355,4165,11.7,29,43,4,45,220,62,1
Chargers,349,4386,12.6,33,57,16,59,214,61.3,6
Bears,347,4139,11.9,19,49,4,64,212,61.1,5
Texans,347,3418,9.8,15,34,4,53,173,49.9,2
Broncos,339,3914,11.6,20,40,8,76,181,53.4,8
Browns,338,3693,10.9,15,44,9,58,181,53.6,2
Cowboys,325,3799,11.7,25,39,8,83T,191,58.8,4
Dolphins,316,3716,11.8,27,46,15,74,167,52.8,2
Rams,312,3313,10.6,14,43,9,66,151,48.4,4
Jets,311,3645,11.7,16,48,10,69,166,53.4,3
Titans,307,3720,12.1,29,53,8,60,175,57,2
Panthers,306,3962,13,21,49,9,88,194,63.4,2
49ers,287,3166,11,21,35,6,75,152,53,7
Bills,286,3250,11.4,17,34,8,84,155,54.2,0
