Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Steelers,689,459,66.6,7.5,5174,35,17,95.5,251,36.4,62,16,97,24,166
Colts,644,432,67.1,7.1,4595,39,15,98.2,237,36.8,53,7,68T,18,134
Packers,640,392,61.2,7.2,4629,25,4,93.7,208,32.5,57,16,75T,53,391
Buccaneers,625,408,65.3,8.6,5358,36,26,94.1,265,42.4,71,14,75T,41,233
Falcons,617,428,69.4,8,4949,36,7,108,238,38.6,56,9,75,42,296
Vikings,606,425,70.1,7.1,4298,30,10,99.7,218,36,47,7,75T,40,262
Eagles,599,422,70.4,7.6,4524,29,11,100.8,221,36.9,52,9,83,40,249
Broncos,588,367,62.4,6.7,3930,19,15,82.1,181,30.8,53,11,64,34,235
Chiefs,583,385,66,8.8,5126,50,12,113.8,239,41,76,15,89T,26,171
Giants,583,382,65.5,7.6,4405,23,12,92.7,208,35.7,59,12,58T,47,358
Browns,574,353,61.5,7.4,4261,29,17,88.8,189,32.9,60,11,71T,38,254
Lions,574,375,65.3,6.7,3844,22,12,88.5,201,35,44,6,67T,41,268
Patriots,574,378,65.8,7.7,4405,29,11,97.8,206,35.9,54,8,63T,21,147
Rams,568,368,64.8,8.3,4730,32,12,100.8,236,41.6,69,9,70T,33,223
Panthers,563,378,67.1,7.2,4071,28,16,92.9,212,37.7,52,5,82,32,235
Ravens,556,334,60.1,6.7,3708,18,9,84,184,33.1,43,6,74,32,150
Raiders,556,382,68.7,7.3,4057,19,10,93.6,197,35.4,52,7,66,52,306
Bengals,542,331,61.1,6.6,3569,27,13,87,182,33.6,53,1,49,37,279
Jaguars,536,329,61.4,6.4,3431,15,13,79.1,164,30.6,41,3,80T,53,322
49ers,532,331,62.2,8,4247,26,20,87.8,201,37.8,61,12,85,48,380
Cowboys,527,356,67.6,7.4,3885,22,8,96.7,184,34.9,39,9,90T,56,347
Jets,524,299,57.1,6.5,3404,18,19,73,157,30,44,5,76T,37,239
Saints,519,381,73.4,8,4174,33,7,112.3,210,40.5,59,7,72T,20,132
Bears,512,344,67.2,7.3,3747,28,14,95.4,177,34.6,46,11,70,33,183
Chargers,512,348,68,8.4,4316,32,12,104.9,213,41.6,60,10,75T,34,227
Redskins,509,311,61.1,6.5,3287,16,15,78.1,156,30.6,40,6,79,44,266
Texans,506,345,68.2,8.2,4165,26,9,102.9,202,39.9,51,8,73T,62,384
Bills,499,271,54.3,6.2,3082,13,23,62.6,137,27.4,43,8,75T,41,288
Cardinals,495,283,57.2,5.8,2884,15,18,69,137,27.7,31,4,75,52,361
Dolphins,455,292,64.2,7.3,3309,26,13,93,153,33.6,34,9,75,52,409
Titans,437,293,67,7.4,3255,16,12,89.8,156,35.7,37,6,66,47,280
Seahawks,427,280,65.6,8.1,3448,35,7,110.9,156,36.5,47,13,66,51,355
