Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Cardinals,230,58,24,10,168,49.8,58,16.5,1018
Colts,229,98,8,7,208,61.4,110,25,1109
Lions,228,97,15,6,272,61.1,84,21.5,1160
Patriots,226,110,12,8,256,63.7,151,28.9,1191
Steelers,224,94,13,6,202,57.1,80,19.4,1023
Eagles,222,83,24,14,190,51.8,111,26.9,1079
Texans,221,83,7,4,205,57.9,114,22.4,1090
Raiders,220,77,16,4,200,53.2,72,19.2,1032
Bears,219,80,13,5,163,56.8,99,21.1,999
Browns,218,67,16,7,185,56.4,71,17.9,998
Ravens,217,80,14,6,182,54.5,98,22.1,1042
Bengals,217,74,16,11,173,51.6,95,22.1,1016
Titans,217,83,15,5,166,52.2,70,18.5,957
Jets,217,80,14,7,162,59.6,102,20.6,1034
Chargers,217,82,11,6,183,54.1,81,19.7,988
Jaguars,216,64,26,8,157,47.9,76,21.2,994
Broncos,213,96,5,3,232,57.7,112,23.3,1090
Packers,213,90,13,7,213,57,85,19.6,1042
Cowboys,212,93,11,8,237,54.6,76,21.4,1049
Chiefs,212,70,15,7,144,52.8,118,23.6,1015
Buccaneers,212,76,17,7,188,60.4,89,21.4,1008
Vikings,210,78,11,7,163,54.3,113,23.2,1001
Rams,209,67,24,13,189,56.9,79,19.3,1002
Dolphins,207,78,15,5,158,53.9,93,21.1,981
Saints,207,91,14,8,267,63.1,64,17.3,1067
Falcons,204,92,8,2,246,58.3,70,18.5,1021
Panthers,204,88,9,3,171,60.2,123,26.6,988
Seahawks,199,80,18,11,153,59.1,128,23.9,974
Bills,198,77,8,5,176,57,103,23.3,983
Niners,194,68,12,8,172,59.5,126,25.6,969
Giants,192,78,10,5,187,57.9,103,25.2,968
Redskins,190,68,17,12,170,58.4,144,27.8,994
