Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Jeff Jaeger,35,44,79.6,0/0,12/12,13/15,6/10,0/0,0/0,53,1
Jason Hanson,34,43,79.1,1/1,8/8,15/15,7/12,0/0,0/0,53,1
John Carney,31,40,77.5,1/1,7/7,14/17,7/12,0/0,0/0,51,3
Chris Jacke,31,37,83.8,1/1,12/12,6/10,6/7,0/0,0/0,54,0
Al Del Greco,29,34,85.3,0/0,13/13,8/9,4/5,0/0,0/0,52,0
Morten Andersen,28,35,80,2/2,7/7,7/7,11/14,0/0,0/0,56,0
Gary Anderson,28,30,93.3,1/1,8/9,14/14,5/6,0/0,0/0,46,0
Eddie Murray,28,33,84.8,4/4,4/4,9/12,8/8,0/0,0/0,52,0
Kevin Butler,27,36,75,0/0,7/8,12/13,3/7,0/0,0/0,55,0
Dean Biasucci,26,31,83.9,1/1,14/14,7/8,3/6,0/0,0/0,53,0
Jason Elam,26,35,74.3,0/0,11/12,7/7,4/10,0/0,0/0,54,1
Norm Johnson,26,27,96.3,1/1,7/7,9/10,7/7,0/0,0/0,54,0
Fuad Reveiz,26,35,74.3,4/4,12/12,6/6,3/7,0/0,0/0,51,0
David Treadwell,25,31,80.6,3/3,11/12,7/10,4/6,0/0,0/0,46,2
Doug Pelfrey,24,31,77.4,0/0,8/8,6/10,8/10,0/0,0/0,53,0
Pete Stoyanovich,24,32,75,2/2,9/10,7/11,4/7,0/0,0/0,52,2
Steve Christie,23,32,71.9,0/0,4/5,12/12,6/9,0/0,0/0,59,0
John Kasay,23,28,82.1,1/1,5/5,10/11,4/6,0/0,0/0,55,0
Nick Lowery,23,29,79.3,0/0,8/8,7/9,7/11,0/0,0/0,52,2
Greg Davis,21,28,75,1/1,11/11,1/1,4/10,0/0,0/0,55,2
Cary Blanchard,17,26,65.4,1/1,7/8,4/5,5/10,0/0,0/0,45,1
Mike Cofer,16,26,61.5,0/0,7/9,5/7,4/7,0/0,0/0,46,3
Michael Husted,16,22,72.7,0/0,5/5,5/6,3/6,0/0,0/0,57,0
Chip Lohmiller,16,28,57.1,2/2,4/4,8/12,1/4,0/0,0/0,51,0
Matt Stover,16,22,72.7,0/0,4/4,5/6,6/8,0/0,0/0,53,0
Tony Zendejas,16,23,69.6,0/0,6/7,4/5,0/3,0/0,0/0,54,2
Scott Sisson,14,26,53.8,1/1,8/13,3/4,2/6,0/0,0/0,40,2
Matt Bahr,13,18,72.2,1/1,5/7,5/5,2/5,0/0,0/0,48,0
Roger Ruzek,8,10,80,0/0,4/4,3/5,1/1,0/0,0/0,46,0
Lin Elliott,2,4,50,0/0,1/1,0/1,1/2,0/0,0/0,43,0
Brad Daluiso,1,3,33.3,0/0,0/0,0/0,0/0,0/0,0/0,54,0
