Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Al Del Greco,36,39,92.3,1/1,8/8,15/15,12/15,0/0,0/0,48,0
Gary Anderson,35,35,100,1/1,11/11,9/9,12/12,0/0,0/0,53,0
Steve Christie,33,41,80.5,1/1,10/12,12/14,9/11,0/0,0/0,52,0
Adam Vinatieri,31,39,79.5,3/3,8/8,9/14,9/12,0/0,0/0,55,1
Richie Cunningham,29,35,82.9,1/1,9/9,8/11,10/11,0/0,0/0,54,0
Jason Hanson,29,33,87.9,0/0,8/8,7/7,13/15,0/0,0/0,51,0
Ryan Longwell,29,33,87.9,1/1,6/6,13/15,9/10,0/0,0/0,45,0
Pete Stoyanovich,27,32,84.4,2/2,9/9,9/9,5/10,0/0,0/0,53,0
Mike Vanderjagt,27,31,87.1,1/1,8/8,4/4,8/9,0/0,0/0,53,1
John Carney,26,30,86.7,0/0,11/12,5/5,8/10,0/0,0/0,54,0
Norm Johnson,26,31,83.9,0/0,10/10,5/5,11/14,0/0,0/0,49,1
John Hall,25,35,71.4,0/0,9/9,9/13,6/10,0/0,0/0,54,3
Morten Andersen,23,28,82.1,0/1,8/9,7/7,6/9,0/0,0/0,53,2
Jason Elam,23,27,85.2,0/0,3/3,13/14,4/6,0/0,0/0,63,1
Olindo Mare,22,27,81.5,0/0,12/13,5/5,5/7,0/0,0/0,48,0
Brad Daluiso,21,27,77.8,2/2,5/5,6/8,7/11,0/0,0/0,51,1
Mike Hollis,21,26,80.8,1/1,8/10,8/9,4/5,0/0,0/0,47,1
Michael Husted,21,28,75,0/1,7/7,8/12,5/7,0/0,0/0,52,1
Jeff Jaeger,21,26,80.8,2/2,8/9,9/10,1/4,0/0,0/0,52,0
Matt Stover,21,28,75,0/0,6/6,5/5,10/17,0/0,0/0,48,1
Doug Brien,20,22,90.9,0/0,7/7,3/3,6/6,0/0,0/0,56,1
Jeff Wilkins,20,26,76.9,0/0,4/5,8/8,5/7,0/0,0/0,57,0
John Kasay,19,26,73.1,0/0,5/5,4/5,6/9,0/0,0/0,56,1
Doug Pelfrey,19,27,70.4,1/1,4/4,6/7,6/10,0/0,0/0,51,1
Todd Peterson,19,24,79.2,0/0,7/7,4/5,5/5,0/0,0/0,51,0
Wade Richey,18,27,66.7,0/0,9/10,3/4,6/13,0/0,0/0,46,1
Greg Davis,17,27,63,0/0,5/6,5/8,6/11,0/0,0/0,51,0
Chris Boniol,14,21,66.7,3/3,3/3,4/5,3/9,0/0,0/0,50,1
Joe Nedney,13,19,68.4,0/0,6/6,1/1,5/8,0/0,0/0,53,2
Cary Blanchard,11,17,64.7,0/0,2/2,6/8,2/5,0/0,0/0,54,1
Chris Jacke,10,14,71.4,0/0,3/3,5/6,1/3,0/0,0/0,52,0
Scott Blanton,2,4,50,0/0,0/0,1/2,1/2,0/0,0/0,46,0
David Akers,0,2,0,0/0,0/0,0/0,0/2,0/0,0/0,0,0
Matt George,0,1,0,0/0,0/0,0/1,0/0,0/0,0/0,0,1
Craig Hentrich,0,1,0,0/0,0/0,0/0,0/1,0/0,0/0,0,1
Tom Rouen,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
