Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Bengals,225,86,13,5,86,19,1013
Titans,212,74,14,7,79,19.5,996
Steelers,199,68,17,4,70,20.6,919
Ravens,227,70,15,6,81,19.8,1010
Buccaneers,216,78,13,4,86,20.7,950
Saints,201,80,12,3,88,19.9,948
Bears,223,80,17,4,71,19,1023
Redskins,210,76,17,5,103,21.3,982
Lions,210,87,13,6,99,21.1,1015
Patriots,215,80,15,5,99,23.1,1016
Chargers,224,84,12,7,99,22,1025
Giants,218,66,19,11,83,19.4,995
Eagles,232,71,13,7,88,19.3,1017
Panthers,233,97,10,7,106,20.4,1057
Broncos,191,63,10,4,86,21.2,960
Falcons,201,93,8,2,95,23.5,957
Bills,205,86,9,4,122,25.3,969
Cowboys,214,76,15,8,90,19.1,985
Dolphins,201,70,15,6,97,21.4,957
49ers,210,78,19,11,89,22.9,988
Seahawks,223,92,11,6,91,21.3,1028
Browns,235,88,23,8,112,22.7,1089
Vikings,204,82,10,6,127,26.6,985
Raiders,210,67,20,9,104,24,1002
Colts,207,90,15,7,108,23.7,1004
Jets,227,101,18,9,116,24.1,1030
Jaguars,227,87,18,5,89,19,1056
Packers,238,93,22,9,83,20.4,1041
Cardinals,220,84,24,12,124,25,1071
Chiefs,218,86,8,5,111,23.1,1003
Rams,209,69,23,11,77,21,952
