Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Bears,238,81,16,7,168,51.4,74,17.5,1035
Falcons,237,86,19,7,161,47.9,73,19,987
Panthers,235,85,14,6,142,49.8,85,18.8,989
Ravens,234,90,21,11,175,51.3,95,21.3,1042
Chiefs,232,79,18,13,171,51,66,17.2,1001
Raiders,229,82,24,10,133,51.2,111,21.8,1000
Eagles,229,97,15,9,186,53.1,118,28,1047
Jets,226,85,21,10,173,55.8,91,20.4,1011
Redskins,226,92,15,6,192,60.2,103,20.7,1052
Rams,223,81,20,7,192,57.7,65,16.1,1026
Steelers,220,103,13,7,179,63.5,108,21.1,1000
Niners,220,69,17,5,140,51.1,65,18.2,925
Jaguars,219,100,33,19,180,62.5,127,24.3,1022
Giants,219,91,17,6,167,55.3,119,25.4,1041
Dolphins,218,81,22,13,162,50.9,107,27.5,989
Titans,217,89,11,2,171,59.4,118,21.7,1037
Seahawks,215,75,14,6,211,56.9,93,21.6,1056
Saints,214,99,25,11,232,52.7,94,24,1060
Chargers,214,84,10,6,158,56.2,104,21.4,980
Buccaneers,213,82,13,5,162,51.3,98,21.8,975
Bengals,208,96,12,4,213,57.1,81,19.5,1008
Browns,204,86,15,6,192,63,110,25,1004
Colts,203,100,10,6,212,59.7,119,26.7,1020
Cardinals,203,75,14,12,210,59,69,17.2,1016
Packers,202,86,11,5,210,54.8,69,17.8,985
Vikings,200,69,13,7,139,55.8,130,26.3,964
Cowboys,199,84,14,10,217,63.4,83,19.8,975
Broncos,198,80,22,7,187,57.4,96,22.4,976
Bills,195,65,18,8,141,53.6,91,20.3,919
Texans,193,86,15,11,190,54.9,96,23,968
Patriots,191,92,21,15,243,60.3,124,27.5,1058
Lions,190,62,10,4,203,55.2,73,22.5,965
