Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Seahawks,359,4187,11.7,26,55,10,61,207,57.7,5
Ravens,338,3929,11.6,25,44,8,92,176,52.1,7
Bears,336,3501,10.4,14,28,6,78,188,56,6
Dolphins,332,3945,11.9,16,51,4,55,199,59.9,4
Eagles,330,4009,12.2,22,46,5,72,203,61.5,4
Patriots,321,3808,11.9,31,49,12,76,173,53.9,3
Vikings,319,3537,11.1,26,42,7,56T,177,55.5,5
Jets,319,3555,11.1,20,44,2,70,173,54.2,3
Colts,317,3560,11.2,16,34,7,58,171,53.9,3
Cardinals,317,3953,12.5,19,47,10,70,186,58.7,4
Cowboys,314,3454,11,19,36,7,64T,170,54.1,7
Jaguars,313,3922,12.5,20,60,11,75T,187,59.7,2
Packers,309,3896,12.6,35,61,9,74,191,61.8,4
Lions,304,3605,11.9,19,45,8,79,166,54.6,3
Bengals,302,3603,11.9,21,40,8,77,171,56.6,5
Raiders,294,3944,13.4,29,59,10,76,170,57.8,4
Bills,293,3213,11,14,37,9,77,144,49.2,4
Chargers,291,3475,11.9,12,46,9,72,161,55.3,3
Panthers,289,3156,10.9,17,36,3,59T,170,58.8,4
Broncos,287,3704,12.9,27,53,10,78,172,59.9,4
Redskins,283,3581,12.6,22,45,7,69,192,67.8,2
Chiefs,281,3129,11.1,20,43,5,55,163,58,1
49ers,278,3432,12.4,20,47,4,82,167,60.1,5
Falcons,273,3445,12.6,26,40,9,56,168,61.5,6
Rams,271,3524,13,14,46,12,76T,161,59.4,1
Steelers,253,3215,12.7,22,41,10,69,157,62.1,4
Giants,249,2763,11.1,16,35,7,68,124,49.8,2
Saints,228,2901,12.7,13,39,7,89T,127,55.7,2
Buccaneers,224,2638,11.8,21,33,6,59,134,59.8,5
Oilers,220,2704,12.3,15,36,5,55,136,61.8,2
