Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Lions,609,343,56.3,6.5,3969,18,24,69.6,184,30.2,52,6,76T,66,373
Bengals,602,322,53.5,5.5,3291,12,26,58.1,176,29.2,32,2,49,28,203
Buccaneers,592,362,61.2,6.1,3621,13,12,77.4,189,31.9,36,2,47,47,298
Panthers,579,314,54.2,5.4,3098,12,22,60.6,144,24.9,32,4,48,32,216
Giants,568,327,57.6,6.6,3764,19,16,77.1,189,33.3,52,7,76,36,206
Saints,562,313,55.7,6.8,3844,27,22,76.7,184,32.7,55,13,63T,50,330
Ravens,557,320,57.4,6.4,3595,18,20,72.7,180,32.3,43,6,77T,40,281
Bills,557,327,58.7,6.7,3722,18,20,74.7,180,32.3,48,10,80,46,271
Colts,557,349,62.7,7.6,4227,27,23,84.9,206,37,57,11,86,30,238
Vikings,555,335,60.4,6.9,3854,23,23,77.9,179,32.2,46,10,80,47,278
Raiders,553,364,65.8,7,3862,27,9,95.5,195,35.3,45,5,49,27,155
Rams,551,379,68.8,8.9,4903,37,22,102.2,236,42.8,82,12,65,40,240
Chargers,548,309,56.4,6.7,3685,16,18,73.1,177,32.3,47,5,78,27,180
Jaguars,534,321,60.1,6.9,3670,20,14,82.4,181,33.9,43,3,45,63,430
Bears,528,315,59.7,5.8,3072,20,16,76,153,29,35,7,66,17,120
Chiefs,528,300,56.8,7.3,3863,17,24,71.7,178,33.7,53,13,67T,39,198
Cardinals,526,304,57.8,6.9,3653,18,14,79.5,177,33.6,52,11,68T,29,204
Eagles,522,300,57.5,6.6,3427,27,14,83.4,146,28,46,9,64T,40,282
Titans,515,307,59.6,7.5,3867,23,17,84.2,179,34.8,55,10,71,43,309
Broncos,511,312,61.1,6.3,3208,26,19,80.6,174,34,30,2,65,42,268
Packers,510,314,61.6,7.7,3921,32,15,94.1,187,36.7,53,13,67T,22,151
49ers,506,318,62.8,7,3559,32,12,95,184,36.4,41,10,61T,26,114
Falcons,485,278,57.3,7.6,3695,19,17,80,165,34,46,14,94T,64,387
Patriots,482,306,63.5,6.9,3326,21,15,85.3,163,33.8,38,8,91,46,237
Browns,466,279,59.9,6.8,3154,18,21,74.3,139,29.8,42,7,78,51,353
Jets,464,272,58.6,6.2,2871,17,14,76.4,151,32.5,39,1,40,19,130
Seahawks,462,258,55.8,6.8,3164,15,12,77.2,140,30.3,45,12,64,49,328
Steelers,454,274,60.4,7.3,3295,16,12,83.4,150,33,49,8,90,31,182
Dolphins,453,275,60.7,7.4,3335,20,19,80.6,154,34,42,7,74T,27,178
Redskins,432,235,54.4,6.3,2716,13,13,71.1,122,28.2,31,6,85,38,229
Cowboys,413,210,50.8,5.8,2408,14,20,59.9,110,26.6,32,8,80,34,190
