Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Bears,26.6,34,903,1,23,2,102T,0,1
Bengals,26,42,1091,1,28,4,92T,0,1
Broncos,25.4,21,534,0,16,3,60,0,1
Redskins,25.2,33,833,1,20,3,91T,0,1
Bills,25.1,32,802,1,21,4,66T,0,0
Chiefs,25,37,927,1,26,1,104T,0,2
Lions,24.5,23,564,1,13,1,100T,0,0
Jaguars,24.2,26,628,0,20,1,59,0,2
Saints,24.1,28,676,0,17,4,51,1,0
Giants,23.5,49,1153,0,32,3,52,1,0
Raiders,23.2,35,811,0,19,2,72,0,1
Falcons,22.8,25,571,0,14,1,47,0,0
Colts,22.8,31,707,0,18,2,47,0,2
Eagles,22.5,29,653,0,18,1,67,0,2
Rams,22.4,18,404,0,13,0,30,0,0
Vikings,22.4,17,380,0,10,0,38,0,2
Patriots,22.1,26,575,0,17,0,38,0,0
Dolphins,22.1,36,796,1,20,2,101T,0,0
Texans,22,14,308,0,10,0,31,0,0
Panthers,21.8,31,677,0,22,0,36,0,1
Browns,21.8,38,830,0,22,2,74,0,0
Jets,21.8,37,807,0,21,1,78,0,1
Titans,21.3,30,638,0,18,1,45,0,0
Cardinals,21.2,36,764,0,21,0,39,0,0
Packers,20.8,32,667,0,17,1,45,0,0
Chargers,20.7,35,726,0,21,1,43,0,0
49ers,20.4,20,409,0,12,1,81,0,1
Buccaneers,19.8,25,494,0,13,0,39,0,1
Seahawks,19.6,22,432,0,12,0,33,0,0
Ravens,18.3,27,493,0,11,1,46,0,0
Steelers,18.1,29,525,0,14,0,34,0,0
Cowboys,16.2,20,325,0,10,0,30,0,0
