Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Chargers,199,78,15,6,119,26,1002
Buccaneers,236,87,24,14,103,22.5,1073
Jets,244,93,26,11,117,23.8,1093
Steelers,216,85,21,13,95,21.5,1024
Cardinals,203,87,16,8,124,27.8,1075
Browns,215,85,18,8,129,26.4,1041
Cowboys,231,87,22,12,119,23.9,1101
Broncos,220,75,14,9,109,24.9,1079
Commanders,210,67,25,12,102,23.1,998
Colts,224,85,25,13,127,24.8,1092
Vikings,215,82,29,11,113,24.4,1118
Eagles,223,86,25,15,115,25.8,1072
Texans,221,86,21,13,150,26.2,1134
Bears,204,100,15,6,151,27.9,1043
Titans,225,77,26,19,93,23.8,1100
Saints,233,97,19,8,122,24.8,1076
Ravens,209,73,24,15,91,22.4,1047
Jaguars,220,95,31,10,114,24.3,1106
Patriots,241,97,27,10,90,20.4,1091
Giants,205,72,17,11,134,28.6,1078
Lions,204,92,27,15,135,28.3,1076
Rams,208,84,20,13,106,23.3,1049
49ers,218,85,25,10,77,19.8,1026
Raiders,206,86,20,11,126,27.4,1077
Bengals,212,84,23,9,102,25.1,996
Panthers,231,95,18,8,125,25.6,1103
Seahawks,227,96,28,11,130,24.8,1117
Packers,194,73,19,11,129,26.9,991
Falcons,220,101,17,7,136,27.2,1082
Dolphins,233,97,31,15,98,23.2,1086
Bills,208,78,33,19,103,26.6,997
Chiefs,222,85,35,20,102,24.3,1093
