Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Giants,561,347,61.8,7.2,4038,32,13,189,33.7,27
49ers,544,344,63.2,6.9,3764,27,10,198,36.4,30
Buccaneers,549,371,67.6,7.6,4169,22,13,202,36.8,22
Dolphins,528,339,64.2,6.8,3603,26,9,190,36,30
Cardinals,564,343,60.8,6.3,3541,24,15,187,33.2,37
Steelers,499,297,59.5,6.4,3217,20,16,157,31.5,56
Patriots,590,367,62.2,6.8,4020,24,12,204,34.6,42
Chargers,524,329,62.8,6,3156,17,18,153,29.2,43
Browns,525,360,68.6,7,3684,28,7,189,36,34
Lions,570,366,64.2,6.8,3892,21,19,205,36,35
Ravens,569,333,58.5,6,3421,18,22,179,31.5,41
Broncos,491,294,59.9,6.5,3210,29,10,166,33.8,33
Eagles,601,363,60.4,6,3637,24,19,177,29.4,38
Packers,513,348,67.8,7.4,3789,30,11,211,41.1,37
Raiders,530,361,68.1,7.3,3858,24,5,187,35.3,31
Seahawks,554,325,58.7,6,3347,19,14,181,32.7,39
Chiefs,570,325,57,6.9,3952,23,16,204,35.8,31
Redskins,531,306,57.6,6.4,3420,23,16,171,32.2,42
Saints,554,329,59.4,6.5,3597,22,20,172,31,42
Falcons,553,362,65.5,6.2,3429,22,8,197,35.6,39
Jaguars,509,289,56.8,5.3,2718,17,21,143,28.1,55
Vikings,555,324,58.4,5.6,3078,13,14,168,30.3,37
Texans,501,321,64.1,7.6,3799,30,11,176,35.1,32
Rams,555,324,58.4,6.3,3475,21,18,181,32.6,48
Bengals,561,336,59.9,6,3379,20,11,173,30.8,41
Jets,558,329,59,6.7,3749,30,11,191,34.2,28
Panthers,550,351,63.8,6.7,3665,25,10,187,34,50
Titans,605,369,61,6.3,3828,27,12,231,38.2,43
Cowboys,559,371,66.4,6.1,3425,28,10,181,32.4,38
Colts,513,320,62.4,7.7,3946,23,13,192,37.4,25
Bills,573,370,64.6,6.4,3688,14,18,199,34.7,27
Bears,529,343,64.8,6.4,3376,18,8,180,34,42
