Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Texans,551,2161,3.9,12,11,4,51,108,19.6,6
Seahawks,525,2762,5.3,20,17,6,79,144,27.4,9
Cowboys,508,2354,4.6,16,19,5,65T,106,20.9,9
Jets,507,2280,4.5,11,10,2,71,112,22.1,10
Bengals,492,2147,4.4,19,14,4,89,122,24.8,8
Browns,477,1728,3.6,17,10,0,36,88,18.4,7
Eagles,474,1992,4.2,16,12,2,53,109,23,10
Panthers,473,2036,4.3,10,7,1,69,117,24.7,9
Niners,470,2176,4.6,10,14,2,90,104,22.1,10
Giants,449,1603,3.6,13,4,2,50,83,18.5,1
Ravens,448,2019,4.5,16,24,3,52T,113,25.2,6
Broncos,443,1785,4,15,13,1,47T,98,22.1,6
Patriots,438,1727,3.9,13,7,1,43,96,21.9,1
Packers,435,1917,4.4,14,11,2,44,104,23.9,7
Steelers,423,1752,4.1,10,9,3,81,98,23.2,7
Chiefs,420,1918,4.6,18,12,3,63,92,21.9,9
Colts,415,1612,3.9,9,7,1,49,80,19.3,10
Vikings,413,1804,4.4,12,11,3,67T,90,21.8,3
Saints,406,1818,4.5,16,10,2,67T,101,24.9,6
Bills,402,1482,3.7,7,7,3,53,65,16.2,5
Redskins,401,1691,4.2,15,11,0,30,88,22,9
Dolphins,399,1872,4.7,12,13,2,97T,99,24.8,8
Chargers,398,1367,3.4,6,6,1,52T,75,18.8,5
Cardinals,397,1308,3.3,6,6,0,22T,67,16.9,4
Lions,396,1422,3.6,11,6,1,57T,72,18.2,7
Rams,395,1635,4.1,11,7,1,89,79,20,7
Falcons,372,1498,4,11,7,2,55,75,20.2,4
Jaguars,360,1633,4.5,9,15,2,62T,86,23.9,6
Titans,356,1447,4.1,6,7,1,52,75,21.1,5
Bears,355,1441,4.1,8,5,0,32,91,25.6,6
Buccaneers,353,1375,3.9,7,8,3,63,72,20.4,5
Raiders,337,1240,3.7,4,6,2,90,56,16.6,10
