Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Frank Corral,29,43,67.4,2/2,13/15,8/12,6/13,0/0,0/0,48,3
Pat Leahy,22,30,73.3,2/2,5/5,9/12,6/9,0/0,0/0,47,1
Joe Danelo,21,29,72.4,0/0,9/12,5/8,5/6,0/0,0/0,52,0
Benny Ricardo,20,28,71.4,3/3,7/7,6/8,4/9,0/0,0/0,48,1
Jan Stenerud,20,30,66.7,1/1,8/10,6/9,5/7,0/0,0/0,47,2
Don Cockroft,19,28,67.9,1/2,6/7,2/5,10/12,0/0,0/0,45,2
Mark Moseley,19,30,63.3,0/0,4/4,5/7,8/13,0/0,0/0,52,0
Garo Yepremian,19,23,82.6,0/0,4/5,10/11,5/7,0/0,0/0,49,0
Rolf Benirschke,18,22,81.8,2/2,9/10,4/6,3/4,0/0,0/0,44,1
Bob Thomas,17,22,77.3,0/0,7/7,9/11,1/4,0/0,0/0,44,2
Chris Bahr,16,30,53.3,0/0,5/7,4/8,6/12,0/0,0/0,52,3
Rafael Septien,16,26,61.5,2/3,8/8,3/5,3/10,0/0,0/0,48,1
Ray Wersching,15,23,65.2,2/2,5/5,4/10,4/5,0/0,0/0,45,0
Toni Fritsch,14,18,77.8,2/2,2/3,7/9,3/4,0/0,0/0,49,0
Efren Herrera,13,21,61.9,2/2,1/1,5/6,5/11,0/0,0/0,48,0
Tim Mazzetti,13,16,81.2,0/0,7/7,6/9,0/0,0/0,0/0,39,1
Neil O'Donoghue,13,23,56.5,0/0,6/6,2/6,5/10,0/0,0/0,49,1
Rick Danmeier,12,19,63.2,1/1,4/5,3/5,4/8,0/0,0/0,47,0
Roy Gerela,12,26,46.2,1/1,5/6,3/9,3/8,0/0,0/0,44,1
Errol Mann,12,20,60,0/0,5/8,5/7,2/5,0/0,0/0,45,1
Jim Bakken,11,22,50,0/0,4/5,4/7,3/10,0/0,0/0,45,1
Chester Marcol,11,19,57.9,2/2,3/5,2/5,4/6,0/0,0/0,48,0
David Posey,11,22,50,1/1,3/4,5/11,2/6,0/0,0/0,47,2
Jim Turner,11,22,50,1/1,3/4,3/7,4/8,0/0,0/0,45,2
Tom Dempsey,10,13,76.9,0/0,5/5,4/5,1/3,0/0,0/0,46,0
Toni Linhart,8,17,47.1,0/0,5/5,2/6,1/6,0/0,0/0,41,1
Nick Mike-Mayer,8,17,47.1,0/0,5/5,3/7,0/4,0/0,0/0,39,2
Steve Mike-Mayer,6,13,46.2,1/1,2/3,2/3,0/2,0/0,0/0,50,0
Richie Szaro,4,6,66.7,0/0,2/2,2/2,0/2,0/0,0/0,37,1
Fred Steinfort,3,10,30,0/0,1/2,1/5,1/3,0/0,0/0,48,2
John Leypoldt,2,3,66.7,0/0,1/2,1/1,0/0,0/0,0/0,39,0
Dave Green,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,35,0
John Smith,1,1,100,0/0,1/1,0/0,0/0,0/0,0/0,24,0
Tony Galbreath,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Tom Jurich,0,3,0,0/0,0/2,0/0,0/1,0/0,0/0,0,2
Nick Lowery,0,1,0,0/0,0/0,0/0,0/1,0/0,0/0,0,0
Mike Michel,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Jerrel Wilson,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
