Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Chip Lohmiller,30,40,75,2/2,9/9,9/15,8/12,0/0,0/0,53,0
Pete Stoyanovich,30,37,81.1,0/0,9/9,14/16,4/4,0/0,0/0,53,0
Morten Andersen,29,34,85.3,0/0,10/10,8/10,8/11,0/0,0/0,52,0
Gary Anderson,28,36,77.8,0/0,12/13,12/15,4/6,0/0,0/0,49,3
John Carney,26,32,81.2,0/0,13/14,5/7,7/8,0/0,0/0,50,2
Steve Christie,24,30,80,2/2,9/9,3/6,7/8,0/0,0/0,54,2
Lin Elliott,24,35,68.6,0/0,6/7,10/14,5/10,0/0,0/0,53,1
Chris Jacke,22,29,75.9,0/0,5/7,9/10,6/9,0/0,0/0,53,0
Nick Lowery,22,24,91.7,0/0,9/10,9/9,3/4,0/0,0/0,52,0
Al Del Greco,21,27,77.8,3/3,8/9,5/6,4/8,0/0,0/0,54,0
Jason Hanson,21,26,80.8,0/0,5/5,10/10,4/6,0/0,0/0,52,1
Matt Stover,21,29,72.4,1/1,11/11,6/8,2/6,0/0,0/0,51,0
David Treadwell,20,24,83.3,1/1,9/10,6/8,4/5,0/0,0/0,46,2
Jim Breech,19,27,70.4,0/0,8/8,7/7,4/11,0/0,0/0,48,0
Kevin Butler,19,26,73.1,1/1,8/8,9/10,0/4,0/0,0/0,50,0
Fuad Reveiz,19,25,76,0/0,4/6,7/7,5/8,0/0,0/0,52,1
Mike Cofer,18,27,66.7,0/0,7/8,5/8,6/10,0/0,0/0,46,0
Norm Johnson,18,22,81.8,0/0,6/6,4/5,4/7,0/0,0/0,54,1
Matt Bahr,16,21,76.2,2/2,1/1,10/11,3/5,0/0,0/0,47,0
Dean Biasucci,16,29,55.2,0/0,3/3,6/11,6/12,0/0,0/0,52,0
Cary Blanchard,16,22,72.7,2/2,2/3,5/7,7/9,0/0,0/0,47,1
Roger Ruzek,16,25,64,2/2,3/3,4/6,6/13,0/0,0/0,50,3
Jeff Jaeger,15,26,57.7,0/0,3/5,4/6,5/9,0/0,0/0,54,3
Tony Zendejas,15,20,75,2/2,3/4,7/9,3/5,0/0,0/0,49,1
John Kasay,14,22,63.6,0/0,4/5,8/11,2/6,0/0,0/0,43,0
Greg Davis,13,26,50,0/0,6/10,3/4,4/9,0/0,0/0,49,1
Charlie Baumann,11,17,64.7,2/2,4/4,3/7,2/4,0/0,0/0,44,1
Ken Willis,10,16,62.5,0/0,4/4,1/4,5/8,0/0,0/0,45,0
Eddie Murray,5,9,55.6,0/0,0/0,2/4,2/4,0/0,0/0,52,0
Jason Staurovsky,3,8,37.5,1/1,0/0,1/2,1/5,0/0,0/0,43,1
Rich Camarillo,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Brad Daluiso,0,1,0,0/0,0/0,0/0,0/0,0/0,0/0,0,1
Lee Johnson,0,1,0,0/0,0/0,0/0,0/0,0/0,0/0,0,1
