Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,366,1302,3.6,4,58,15.8
Falcons,415,2046,4.9,17,108,26
Vikings,371,1230,3.3,10,72,19.4
Patriots,415,1722,4.2,8,78,18.8
Titans,403,1502,3.7,12,81,20.1
Panthers,432,1912,4.4,14,100,23.2
Giants,386,1533,4,14,78,20.2
Redskins,398,1526,3.8,12,86,21.6
Steelers,390,1284,3.3,7,73,18.7
Raiders,542,2555,4.7,23,129,23.8
Buccaneers,441,1901,4.3,8,87,19.7
Dolphins,388,1620,4.2,11,96,24.7
Bills,455,1946,4.3,18,113,24.8
Packers,458,2105,4.6,20,121,26.4
Bears,437,1496,3.4,16,93,21.3
Texans,439,1962,4.5,18,114,26
Eagles,421,1476,3.5,7,79,18.8
Jaguars,428,1709,4,14,98,22.9
Jets,407,1518,3.7,10,86,21.1
Chargers,408,1641,4,11,98,24
Bengals,490,1921,3.9,15,106,21.6
Rams,501,2475,4.9,26,146,29.1
Seahawks,457,1899,4.2,13,98,21.4
Browns,541,2431,4.5,16,125,23.1
Cowboys,402,1706,4.2,11,85,21.1
Saints,445,1885,4.2,14,100,22.5
Niners,452,1709,3.8,14,104,23
Broncos,469,2337,5,26,122,26
Chiefs,509,2543,5,25,133,26.1
Colts,472,1966,4.2,18,119,25.2
Lions,536,2754,5.1,31,147,27.4
Cardinals,445,1764,4,13,117,26.3
