Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Mark Moseley,25,33,75.8,2/2,5/5,8/9,9/14,0/0,0/0,53,1
Tony Franklin,23,31,74.2,1/1,5/5,7/8,7/10,0/0,0/0,59,1
John Smith,23,33,69.7,0/0,6/6,11/13,6/14,0/0,0/0,47,2
Toni Fritsch,21,25,84,0/0,7/7,5/6,7/10,0/0,0/0,51,1
Uwe von Schamann,21,29,72.4,0/0,8/8,9/14,2/4,0/0,0/0,53,2
Nick Mike-Mayer,20,29,69,0/0,8/8,8/10,4/11,0/0,0/0,42,1
Ray Wersching,20,24,83.3,2/2,6/7,7/8,5/7,0/0,0/0,47,2
Efren Herrera,19,23,82.6,1/1,7/8,5/6,6/7,0/0,0/0,49,2
Rafael Septien,19,29,65.5,0/0,7/7,7/11,3/8,0/0,0/0,51,1
Matt Bahr,18,30,60,0/0,6/6,6/11,6/12,0/0,0/0,46,1
Jim Breech,18,27,66.7,1/2,7/7,7/10,3/7,0/0,0/0,47,1
Don Cockroft,17,29,58.6,0/0,5/6,8/12,3/8,0/0,0/0,51,1
Bob Thomas,16,27,59.3,1/1,4/7,9/11,2/7,0/0,0/0,44,1
Chris Bahr,13,23,56.5,0/0,4/6,3/7,4/8,0/0,0/0,55,0
Frank Corral,13,25,52,1/1,5/5,2/6,5/12,0/0,0/0,49,5
Rick Danmeier,13,22,59.1,0/0,3/5,5/7,5/10,0/0,0/0,44,1
Tim Mazzetti,13,25,52,0/0,9/11,1/6,3/7,0/0,0/0,48,1
Jim Turner,13,21,61.9,1/1,7/9,4/8,1/3,0/0,0/0,49,1
Mike Wood,13,21,61.9,0/0,6/6,6/8,1/3,0/0,0/0,42,0
Jan Stenerud,12,23,52.2,0/1,4/6,3/4,5/10,0/0,0/0,46,3
Garo Yepremian,12,16,75,1/1,5/5,3/4,3/6,0/0,0/0,44,1
Steve Mike-Mayer,11,20,55,0/0,5/7,4/5,2/8,0/0,0/0,41,0
Neil O'Donoghue,11,19,57.9,1/1,3/4,5/9,2/5,0/0,0/0,44,1
Steve Little,10,19,52.6,0/0,5/5,1/3,3/10,0/0,0/0,51,2
Benny Ricardo,10,18,55.6,0/0,4/4,4/4,2/8,0/0,0/0,46,1
Joe Danelo,9,20,45,0/0,3/3,2/3,4/11,0/0,0/0,49,0
Pat Leahy,8,13,61.5,1/1,2/2,5/8,0/2,0/0,0/0,34,1
Tom Birney,7,9,77.8,0/0,3/3,2/2,2/3,0/0,0/0,46,0
Toni Linhart,6,14,42.9,0/1,3/4,3/7,0/2,0/0,0/0,39,0
Dave Jacobs,5,9,55.6,0/0,3/4,1/2,1/3,0/0,0/0,42,0
Rolf Benirschke,4,4,100,0/0,2/2,1/1,1/1,0/0,0/0,42,0
Chester Marcol,4,10,40,0/0,1/2,2/5,1/3,0/0,0/0,42,0
Russell Erxleben,2,2,100,0/0,0/0,2/2,0/0,0/0,0/0,38,0
Tony Galbreath,2,3,66.7,0/1,2/2,0/0,0/0,0/0,0/0,27,0
John Anderson,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,39,0
Tom Dempsey,1,4,25,1/1,0/0,0/2,0/1,0/0,0/0,18,0
Roy Gerela,1,7,14.3,0/0,1/2,0/2,0/3,0/0,0/0,26,1
Cliff Olander,0,1,0,0/0,0/0,0/0,0/1,0/0,0/0,0,0
Richie Szaro,0,2,0,0/1,0/0,0/0,0/1,0/0,0/0,0,1
