Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Chiefs,111,7130,72,64.9,36,22.5,1,0,3,0
Rams,107,6849,77,72,29,22.5,0,0,1,0
Saints,103,6598,64,62.1,39,22.7,0,0,0,0
Patriots,93,5783,50,53.8,42,24.6,0,0,0,0
Ravens,92,5799,58,63,32,23.3,1,0,1,0
Texans,92,5885,58,63,33,20.7,1,0,0,0
Falcons,89,5578,51,57.3,36,22.7,2,0,0,0
Bears,89,5664,65,73,22,24.9,1,1,1,1
Colts,88,5435,59,67,27,22,2,0,0,0
Chargers,88,5526,27,30.7,61,21.7,0,0,0,0
Buccaneers,86,5349,51,59.3,34,21,2,0,0,0
Giants,85,5254,51,60,28,20.4,4,1,3,0
Steelers,85,5328,50,58.8,35,20.8,0,0,0,0
Packers,84,5229,41,48.8,40,25.6,3,0,0,1
Jets,83,5311,60,72.3,23,23.4,0,0,0,0
Seahawks,83,5082,42,50.6,37,24.8,3,0,1,1
Eagles,82,5210,57,69.5,24,22.5,1,0,0,0
49ers,81,5065,52,64.2,27,24.5,2,0,0,0
Bengals,79,5003,45,57,31,22.7,1,0,1,0
Browns,79,5011,52,65.8,24,23.9,1,0,1,0
Lions,79,4797,37,46.8,37,22.6,5,1,0,0
Vikings,79,4791,44,55.7,31,23.3,4,0,2,0
Panthers,78,4938,60,76.9,17,23.9,1,0,0,0
Cowboys,77,4984,52,67.5,25,26.5,0,0,0,0
Broncos,73,4473,42,57.5,28,20.8,4,0,1,0
Titans,72,4536,45,62.5,25,27.8,2,0,0,1
Raiders,71,4350,29,40.8,39,23.6,3,0,1,0
Dolphins,70,4432,55,78.6,13,26.1,1,0,1,1
Redskins,70,4443,56,80,13,22.7,1,0,0,0
Bills,66,3958,30,45.4,34,22.2,3,0,0,0
Jaguars,64,3908,41,64.1,21,17.8,2,1,0,0
Cardinals,56,3534,28,50,27,21.6,1,0,1,0
