Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Colts,535,356,66.5,6.4,3433,22,10,190,35.5,30
Saints,494,306,61.9,6.3,3103,13,9,150,30.4,33
Lions,518,330,63.7,6.8,3498,23,14,187,36.1,44
Redskins,578,367,63.5,7.2,4187,23,14,207,35.8,29
Bengals,514,326,63.4,6.8,3469,21,16,170,33.1,27
Rams,570,328,57.5,6.3,3578,21,14,191,33.5,43
Broncos,502,297,59.2,7.5,3780,26,10,184,36.6,23
Falcons,560,364,65,6.5,3625,23,22,183,32.7,31
Cowboys,540,348,64.4,7.2,3894,33,20,200,37,35
Texans,547,354,64.7,7.8,4280,33,13,211,38.6,30
Eagles,536,309,57.6,6.5,3469,31,23,185,34.5,39
Cardinals,533,324,60.8,6.9,3654,22,17,178,33.4,33
Dolphins,502,288,57.4,6.7,3348,22,11,166,33.1,39
Chargers,488,285,58.4,5.8,2845,18,16,153,31.4,47
Seahawks,585,339,58,6.8,3994,31,12,206,35.2,37
Packers,527,296,56.2,5.9,3107,16,24,163,30.9,47
Giants,539,308,57.1,6.2,3352,24,16,159,29.5,46
Jets,531,269,50.7,6,3210,24,12,169,31.8,40
Bills,473,294,62.2,6.5,3072,28,11,179,37.8,27
Patriots,611,388,63.5,6.8,4136,25,25,226,37,36
Vikings,529,333,63,6.4,3367,25,15,178,33.6,31
Niners,550,358,65.1,6.7,3697,25,15,188,34.2,36
Buccaneers,521,307,58.9,6.2,3216,23,19,171,32.8,26
Ravens,596,349,58.6,6,3599,22,19,187,31.4,27
Raiders,470,249,53,6.4,3027,29,12,150,31.9,47
Panthers,526,326,62,6.4,3393,19,17,176,33.5,31
Steelers,593,363,61.2,5.8,3425,15,21,182,30.7,48
Browns,507,309,61,7,3531,26,19,195,38.5,29
Chiefs,581,319,54.9,6.1,3519,23,14,186,32,39
Titans,625,410,65.6,6.4,4032,23,17,214,34.2,40
Jaguars,506,329,65,7.9,4004,28,13,197,38.9,26
Bears,582,363,62.4,6.2,3588,14,21,183,31.4,34
