Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Lions,198,77,12,5,98,22.1,1005
Falcons,201,79,17,9,87,23.8,957
Rams,221,74,12,6,88,21.8,1017
Jets,219,81,6,4,70,17.2,979
Dolphins,226,84,22,8,84,18.8,988
Panthers,213,81,9,4,121,24.1,1060
Chiefs,223,84,20,7,88,21.6,1028
Bengals,198,75,7,2,97,23.3,957
Raiders,218,76,11,3,98,20.7,991
Steelers,209,70,16,10,61,18.3,974
Saints,203,70,23,15,94,22.3,948
Eagles,209,80,12,5,91,21.5,998
Seahawks,238,94,19,8,91,20.1,1074
Niners,217,84,13,3,86,19.2,1033
Bills,227,98,10,7,138,24.2,1071
Cowboys,204,81,9,4,84,20.9,977
Buccaneers,213,92,17,9,118,26.6,991
Ravens,229,87,12,6,79,20.6,1007
Cardinals,233,87,17,9,123,23.4,1092
Redskins,214,75,10,7,106,23.9,1051
Broncos,209,80,16,10,126,23.7,1056
Giants,208,66,17,9,88,22.6,974
Packers,213,77,20,6,82,20.8,969
Vikings,213,87,10,5,87,20.9,977
Chargers,208,70,28,12,77,19.1,939
Titans,242,104,22,9,107,22.6,1139
Colts,200,78,18,8,111,24.9,1010
Jaguars,189,78,18,8,98,23.6,948
Browns,224,96,15,11,102,20.2,1041
Patriots,210,99,20,12,99,24.2,1056
Bears,216,75,13,6,88,22.8,1002
Texans,195,77,13,11,113,26.1,1010
