Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Bears,583,354,60.7,6.6,3822,23,14,196,33.6,37
Packers,538,304,56.5,6.5,3505,20,26,177,32.9,30
Giants,511,295,57.7,6.7,3421,20,17,170,33.3,32
Dolphins,484,256,52.9,6,2928,19,18,145,30,39
Chargers,549,315,57.4,6.5,3584,24,15,181,33,41
Panthers,557,327,58.7,6.5,3605,26,15,189,33.9,35
49ers,521,317,60.8,7.8,4068,36,13,192,36.8,32
Lions,574,359,62.5,6.6,3760,21,16,185,32.2,50
Cardinals,493,294,59.6,6.4,3157,25,17,157,31.8,33
Broncos,471,273,58,6.4,3016,17,15,154,32.7,50
Saints,489,291,59.5,7.2,3544,34,19,170,34.8,45
Bengals,522,312,59.8,7.3,3798,28,12,189,36.2,35
Ravens,599,328,54.8,5,2991,20,21,158,26.4,49
Colts,561,328,58.5,6.2,3506,21,10,192,34.2,41
Patriots,520,293,56.4,5.8,3013,23,16,154,29.6,42
Redskins,589,328,55.7,6.3,3732,23,24,193,32.8,40
Jaguars,521,291,55.8,5.6,2890,18,19,159,30.5,57
Steelers,463,245,52.9,6.3,2926,20,14,142,30.7,39
Rams,596,319,53.5,5.9,3509,19,29,189,31.7,57
Vikings,606,373,61.6,6.6,3980,20,12,213,35.2,46
Titans,557,312,56,6.6,3695,26,16,193,34.6,54
Seahawks,582,320,55,6,3492,19,30,183,31.4,38
Raiders,539,302,56,6.2,3321,22,20,161,29.9,44
Bills,506,269,53.2,5.3,2675,12,12,144,28.5,37
Falcons,468,274,58.6,6.7,3151,20,12,149,31.8,40
Cowboys,545,297,54.5,6.2,3398,19,24,154,28.3,35
Chiefs,578,317,54.8,6,3482,24,25,173,29.9,40
Browns,523,331,63.3,6.3,3310,17,8,187,35.8,25
Jets,574,319,55.6,6.4,3676,16,24,180,31.4,26
Eagles,568,322,56.7,6.1,3461,22,28,171,30.1,37
Buccaneers,573,302,52.7,5,2873,11,21,144,25.1,43
