Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Cowboys,499,2396,4.8,24,17,3,60T,142,28.5,9
Bills,492,2630,5.4,29,27,5,75,146,29.7,11
Patriots,482,1872,3.9,19,8,3,44T,109,22.6,8
Titans,476,2187,4.6,16,8,3,75T,115,24.2,10
49ers,458,2019,4.4,15,11,2,47,116,25.3,8
Texans,456,1859,4.1,8,10,1,45,102,22.4,8
Panthers,453,1814,4,16,10,1,47,99,21.8,6
Buccaneers,453,1616,3.6,8,5,2,45T,80,17.7,8
Bengals,446,1769,4,17,6,3,74T,100,22.4,5
Eagles,438,1813,4.1,16,7,0,30,114,26,9
Raiders,434,1922,4.4,17,19,2,75,98,22.6,8
Falcons,421,1928,4.6,20,15,4,75,108,25.6,3
Jets,418,1802,4.3,10,10,0,35,97,23.2,6
Chiefs,412,1748,4.2,15,12,5,70,86,20.9,5
Broncos,410,1484,3.6,11,4,1,64,76,18.5,5
Colts,409,1628,4,13,4,0,33T,93,22.7,5
Steelers,409,1760,4.3,13,5,2,60,97,23.7,6
Dolphins,405,1824,4.5,14,12,5,62,90,22.2,11
Saints,404,1742,4.3,17,8,2,75,105,26,2
Seahawks,403,1591,4,13,7,4,75,85,21.1,6
Cardinals,399,1732,4.3,20,10,4,58,97,24.3,11
Giants,398,1412,3.6,6,7,0,25,73,18.3,2
Chargers,398,1510,3.8,10,9,3,48,90,22.6,6
Jaguars,392,1631,4.2,8,7,3,57T,75,19.1,9
Bears,380,1735,4.6,10,13,2,69T,93,24.5,9
Vikings,380,1205,3.2,9,6,0,36T,66,17.4,3
Redskins,379,1696,4.5,17,10,4,66,89,23.5,7
Rams,375,1252,3.3,9,6,0,30,68,18.1,6
Packers,374,1701,4.6,11,13,2,61,91,24.3,5
Ravens,367,1463,4,10,8,1,41,79,21.5,4
Browns,350,1712,4.9,13,12,3,85,83,23.7,12
Lions,350,1310,3.7,9,6,1,42T,76,21.7,2
