Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Ravens,233,86,19,8,205,46.7,79,21.5,1079
Texans,233,87,23,9,173,49.9,102,22.4,1071
Patriots,227,104,12,8,203,55.2,109,22.6,1056
Eagles,224,85,27,13,192,50.5,114,26,1080
Panthers,223,83,17,11,194,63.4,99,21.8,1052
49ers,222,78,19,10,152,53,116,25.3,996
Jaguars,221,78,16,7,207,56.1,75,19.1,1052
Saints,220,107,15,13,265,56.1,105,26,1105
Broncos,219,75,17,9,181,53.4,76,18.5,1020
Giants,219,78,19,9,190,50.4,73,18.3,1018
Raiders,218,83,13,6,198,52.2,98,22.6,1048
Titans,217,100,11,4,175,57,115,24.2,1008
Cardinals,214,87,10,5,229,59.8,97,24.3,1085
Buccaneers,214,94,9,4,220,62,80,17.7,1066
Chiefs,213,81,14,10,197,54,86,20.9,990
Rams,213,67,20,8,151,48.4,68,18.1,960
Vikings,213,81,18,8,209,50.5,66,17.4,1006
Browns,212,77,18,13,181,53.6,83,23.7,983
Bills,210,86,15,8,155,54.2,146,29.7,1012
Bengals,210,82,9,7,204,56,100,22.4,1050
Packers,210,98,17,7,222,55.1,91,24.3,1029
Jets,210,76,19,8,166,53.4,97,23.2,1003
Seahawks,207,79,11,4,203,55.2,85,21.1,1012
Colts,202,87,18,8,220,59.5,93,22.7,1037
Steelers,202,83,16,9,210,55.1,97,23.7,1026
Chargers,200,85,12,6,214,61.3,90,22.6,1014
Redskins,199,90,14,7,226,55.5,89,23.5,1009
Lions,195,83,10,7,217,55.9,76,21.7,981
Cowboys,189,80,9,8,191,58.8,142,28.5,1010
Dolphins,188,69,4,0,167,52.8,90,22.2,912
Bears,185,70,14,4,212,61.1,93,24.5,967
Falcons,178,75,14,8,239,63.9,108,25.6,995
