Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Patriots,3215,1224,477,209,207,59,106,22.4,1187
Panthers,3040,1163,112,52,157,59.7,74,16.3,1029
Vikings,3000,1433,138,50,223,55.5,91,21,1115
Rams,2991,1093,315,183,199,54.4,77,19.6,1067
Chiefs,2966,1054,279,193,164,54.7,113,22.3,1059
Eagles,2947,1131,212,125,145,51.1,126,24.8,1050
Steelers,2929,1239,251,138,193,55.5,117,23.7,1110
Packers,2886,1411,106,66,235,63.2,84,20.5,1036
Bills,2854,904,165,90,142,50.9,130,25,1059
Redskins,2847,1154,208,123,169,63.8,105,22.4,1026
Oilers,2830,1233,145,85,157,50,109,22.8,1046
Chargers,2798,1199,262,152,185,58.2,108,22.6,1051
Seahawks,2715,1037,159,111,171,62.6,121,25.4,1033
Saints,2674,1132,137,62,202,57.9,75,19.6,984
Raiders,2659,1063,172,86,189,59.6,104,22.5,1042
Dolphins,2633,1207,162,126,225,58.6,98,23.7,1034
Lions,2632,1201,166,102,230,63.5,91,23.5,1024
Bears,2620,1120,236,162,201,63.8,116,23.6,1030
Broncos,2613,1134,221,99,205,58.6,114,25.9,1060
Browns,2601,1048,255,121,189,58.3,83,20.8,985
Giants,2578,1047,172,87,150,57.7,113,23.6,1003
Colts,2569,1006,236,149,147,54.4,110,23,961
Bengals,2562,901,235,122,184,55.1,76,20.9,975
Jaguars,2509,907,180,72,154,56,100,24.4,962
Falcons,2491,1005,161,88,216,59.3,85,25.2,983
Buccaneers,2444,854,159,86,159,59.6,101,25.4,961
Cowboys,2367,1061,163,101,195,60.6,141,28.5,1007
Jets,223,65,22,10,159,48.2,78,21.4,1001
49ers,223,109,18,11,231,53.5,109,26.3,1092
Cardinals,205,71,13,2,184,56.3,65,16.8,1002
