Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Lions,604,376,62.2,6.3,3831,26,21,195,32.3,41
Saints,626,362,57.8,6.6,4157,24,9,196,31.3,33
Patriots,619,386,62.4,7.6,4703,26,23,245,39.6,40
Falcons,560,340,60.7,6.8,3786,25,19,186,33.2,33
Redskins,509,308,60.5,7,3553,22,13,180,35.4,41
Giants,589,361,61.3,6.9,4082,28,20,210,35.6,48
Buccaneers,481,301,62.6,7.9,3814,30,14,188,39.1,23
Titans,591,369,62.4,6.1,3629,21,11,187,31.6,28
Chargers,478,299,62.6,7.5,3591,29,17,186,38.9,32
Bills,507,321,63.3,7.3,3714,30,20,196,38.7,29
Browns,469,265,56.5,6.3,2959,16,9,149,31.8,32
Cowboys,545,336,61.6,7.2,3906,24,15,199,36.5,42
Eagles,518,301,58.1,6.6,3397,27,15,173,33.4,50
Packers,637,390,61.2,7.5,4796,29,31,246,38.6,29
Cardinals,578,340,58.8,6.4,3696,17,10,174,30.1,42
Rams,484,293,60.5,6.8,3301,21,12,166,34.3,39
Jets,507,275,54.2,6.3,3216,15,19,167,32.9,35
Ravens,535,288,53.8,5.9,3140,11,15,166,31,48
Steelers,530,289,54.5,5.2,2751,15,11,156,29.4,35
Bengals,539,319,59.2,6.3,3385,21,10,170,31.5,45
Colts,493,351,71.2,7.4,3632,25,8,193,39.2,29
Raiders,601,324,53.9,6.7,4023,31,18,206,34.3,39
Panthers,490,318,64.9,8.1,3949,28,14,191,39,31
Vikings,538,367,68.2,7.5,4019,34,8,213,39.6,50
Seahawks,543,324,59.7,6.5,3518,18,22,174,32,33
Chiefs,454,257,56.6,7.1,3221,23,20,169,37.2,29
Bears,631,383,60.7,6.4,4065,22,20,199,31.5,33
Jaguars,513,326,63.6,6.5,3341,21,17,175,34.1,31
Dolphins,590,350,59.3,6.8,3992,24,16,198,33.6,41
Texans,538,279,51.9,5.6,3035,18,17,166,30.9,44
Niners,579,333,57.5,6.4,3695,20,23,190,32.8,42
Broncos,534,333,62.4,6.9,3704,24,9,182,34.1,41
