Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Ravens,13.8,26,360,0,6,1,42,24,1
Jets,12.1,17,206,0,1,0,28,25,0
Chiefs,12,19,228,0,4,0,37,10,2
Bears,11.7,29,338,1,5,1,97T,5,2
Rams,11.3,19,215,1,2,1,61T,26,1
Patriots,11.3,28,316,0,4,0,27,12,3
Lions,10.7,22,236,0,2,1,48,16,1
Saints,10,35,349,0,3,0,34,22,1
Titans,9.8,30,293,0,2,1,55,21,3
Raiders,9.7,32,309,0,3,1,41,20,4
Steelers,9.2,40,370,0,2,0,23,12,3
Cardinals,9.2,26,238,0,2,1,48,16,2
Panthers,8.9,24,213,0,1,0,22,30,0
Bills,8.5,37,316,0,2,0,26,7,3
Football Team,8.4,16,134,0,0,0,16,19,1
Jaguars,8.4,19,159,0,1,1,48,30,2
Seahawks,8.4,23,192,0,2,0,22,23,1
Falcons,8.2,23,189,0,1,0,23,14,1
Broncos,8.2,28,230,0,1,0,25,14,2
49ers,8.2,34,279,0,3,0,27,17,1
Packers,8,25,199,0,2,0,23,10,4
Vikings,7.9,26,206,0,1,1,45,20,2
Giants,7.6,26,197,0,1,0,26,21,1
Colts,7.4,23,170,0,0,0,16,14,2
Bengals,7.2,36,261,0,0,0,17,22,4
Eagles,7.2,33,239,0,3,0,39,16,1
Texans,7.2,26,188,0,1,0,20,11,2
Browns,7.2,47,337,0,4,0,24,5,5
Buccaneers,7.1,35,250,0,2,1,43,10,0
Cowboys,6.6,28,185,0,1,0,21,14,3
Dolphins,6.6,29,190,0,0,0,18,19,5
Chargers,5.9,18,107,0,0,0,15,14,1
