Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Eagles,237,103,11,7,218,56.8,109,23,1127
Raiders,236,80,15,9,173,47.4,56,16.6,994
Texans,235,91,17,10,171,58,108,19.6,1062
Giants,235,101,16,5,218,56.9,83,18.5,1086
Jets,234,91,16,9,154,53.7,112,22.1,1052
Bills,229,84,14,6,186,51.2,65,16.2,1020
Cardinals,224,90,4,3,191,59.7,67,16.9,993
Lions,223,86,20,10,210,57.5,72,18.2,1045
Panthers,222,93,10,6,199,60.9,117,24.7,1060
Patriots,221,98,13,7,228,58.2,96,21.9,1073
Colts,217,89,15,6,250,61,80,19.3,1105
Jaguars,216,69,19,7,154,47.4,86,23.9,988
Chargers,215,97,11,5,214,56.3,75,18.8,1009
Broncos,213,94,13,6,227,56.9,98,22.1,1067
Niners,213,86,18,10,165,56.5,104,22.1,1009
Seahawks,212,90,11,3,160,55.8,144,27.4,1021
Bengals,211,84,13,7,164,50.8,122,24.8,1018
Vikings,211,82,12,6,171,53.1,90,21.8,981
Falcons,210,93,16,8,233,55.7,75,20.2,1035
Steelers,208,93,10,5,243,59.1,98,23.2,1068
Bears,207,78,28,13,194,49,91,25.6,1005
Browns,207,61,14,5,179,65.3,88,18.4,1010
Ravens,205,84,18,9,194,56.4,113,25.2,1021
Saints,203,98,15,8,258,56.6,101,24.9,1095
Buccaneers,203,76,12,4,162,53.8,72,20.4,936
Cowboys,201,95,6,3,205,62.5,106,20.9,1014
Chiefs,201,80,12,5,184,57.5,92,21.9,962
Dolphins,200,80,19,7,226,57.4,99,24.8,1040
Packers,197,93,10,4,222,63.6,104,23.9,1001
Redskins,197,62,16,4,186,51.1,88,22,1006
Titans,196,59,17,6,158,52.8,75,21.1,919
Rams,192,68,10,4,189,57.8,79,20,957
