Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Colts,381,4289,11.3,29,45,9,79,212,55.6,5
Rams,377,4287,11.4,23,64,6,48,211,56,4
Buccaneers,369,3941,10.7,27,38,9,76,190,51.5,7
Giants,344,3642,10.6,16,35,8,77T,184,53.5,6
Chiefs,339,4113,12.1,24,55,8,67,201,59.3,2
Vikings,333,4169,12.5,32,51,15,72T,194,58.3,3
Bengals,324,3591,11.1,26,37,11,82,181,55.9,2
Patriots,320,3651,11.4,23,44,8,82,177,55.3,3
Lions,319,2988,9.4,17,26,3,72,152,47.6,2
Seahawks,317,3872,12.2,27,54,5,80,190,59.9,3
Titans,315,4031,12.8,30,55,12,73,210,66.7,3
Saints,314,3641,11.6,25,37,7,76,177,56.4,5
Browns,313,3116,10,17,25,6,71,153,48.9,1
Jets,312,3524,11.3,20,44,8,65,181,58,3
Packers,310,3377,10.9,32,42,7,66T,166,53.6,1
Steelers,306,3548,11.6,19,46,5,81,174,56.9,3
Jaguars,303,3421,11.3,17,40,8,84,163,53.8,4
Cardinals,303,3265,10.8,18,38,8,71,147,48.5,4
49ers,299,3566,11.9,25,46,7,75,172,57.5,3
Chargers,297,3226,10.9,21,45,6,73,146,49.2,3
Cowboys,294,3347,11.4,17,49,7,64,149,50.7,3
Bills,293,3069,10.5,11,31,2,54T,150,51.2,4
Redskins,283,3273,11.6,21,45,4,64,156,55.1,4
Broncos,280,3126,11.2,19,35,6,72T,162,57.9,0
Eagles,279,3273,11.7,17,45,9,59,156,55.9,3
Raiders,278,2988,10.8,9,38,2,47,140,50.4,3
Bears,271,2905,10.7,12,37,5,61,143,52.8,4
Panthers,270,3238,12,19,46,8,67,146,54.1,7
Dolphins,257,3001,11.7,17,43,5,80,144,56,6
Texans,248,2841,11.5,14,32,7,78,127,51.2,4
Falcons,230,2631,11.4,14,31,9,86,127,55.2,2
Ravens,217,2517,11.6,16,34,8,73,121,55.8,1
