Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Ravens,555,3071,5.5,24,31,5,72,166,29.9,11
Titans,521,2690,5.2,26,20,5,94,142,27.3,5
Patriots,502,2346,4.7,20,13,3,49,143,28.5,8
Browns,495,2374,4.8,21,21,4,59,133,26.9,7
Saints,494,2265,4.6,30,14,3,49T,147,29.8,9
Cardinals,479,2237,4.7,22,17,2,69T,136,28.4,9
Rams,473,2018,4.3,19,9,4,61T,123,26,4
Vikings,468,2283,4.9,20,10,1,70T,139,29.7,5
Chargers,466,1784,3.8,12,10,0,36,111,23.8,8
Colts,459,1996,4.4,20,12,3,62,129,28.1,1
Raiders,457,1916,4.2,20,9,1,43,121,26.5,9
Packers,443,2118,4.8,16,10,4,77,114,25.7,4
Broncos,442,1918,4.3,13,13,3,65,94,21.3,7
49ers,437,1889,4.3,19,8,2,80,101,23.1,6
Cowboys,430,1788,4.2,14,7,2,42,115,26.7,7
Dolphins,428,1688,3.9,15,7,0,31,100,23.4,5
Bills,411,1723,4.2,16,10,1,51,119,29,6
Bengals,411,1668,4.1,13,9,2,55,92,22.4,8
Seahawks,411,1971,4.8,15,11,1,50,111,27,6
Falcons,409,1532,3.8,13,6,1,62,86,21,5
Panthers,407,1704,4.2,19,6,1,45T,110,27,7
Jets,406,1683,4.2,9,4,1,46,94,23.2,2
Chiefs,403,1799,4.5,13,10,0,32,110,27.3,5
Eagles,403,2027,5,16,12,5,82,114,28.3,15
Football Team,400,1611,4,18,7,1,40,108,27,3
Giants,399,1768,4.4,13,9,3,80T,91,22.8,5
Bears,393,1647,4.2,12,8,3,80,93,23.7,1
Steelers,373,1351,3.6,12,10,2,59,81,21.7,7
Buccaneers,369,1519,4.1,16,9,2,98,82,22.2,3
Lions,367,1499,4.1,17,5,1,54,93,25.3,5
Texans,344,1466,4.3,10,5,1,48T,83,24.1,7
Jaguars,337,1519,4.5,9,6,1,47T,80,23.7,3
