Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Steelers,428,4129,9.6,35,48,7,84,206,48.1,8
Chiefs,420,5005,11.9,40,69,8,75,255,60.7,7
Cowboys,413,4511,10.9,25,50,11,69,231,55.9,3
Chargers,413,4548,11,31,54,10,72,226,54.7,3
Bills,410,4786,11.7,40,66,10,56,240,58.5,3
Buccaneers,410,4776,11.6,42,67,12,50,238,58,5
Falcons,408,4620,11.3,27,59,8,63,243,59.6,5
Bears,402,3925,9.8,26,42,3,53,218,54.2,5
Rams,392,4183,10.7,20,50,6,56,206,52.6,4
Football Team,389,3796,9.8,16,40,6,68,184,47.3,7
Seahawks,388,4245,10.9,40,45,11,62,216,55.7,3
Jaguars,387,3955,10.2,25,45,5,73,205,53,2
Cardinals,387,4102,10.6,27,45,14,80,211,54.5,6
Texans,383,4843,12.6,33,69,11,77,222,58,7
Lions,374,4397,11.8,27,58,8,73,220,58.8,1
Panthers,373,4129,11.1,16,55,9,75,192,51.5,3
Bengals,372,3793,10.2,19,35,5,72,201,54,4
Packers,372,4299,11.6,48,57,14,78,216,58.1,3
Colts,371,4186,11.3,24,56,8,55,201,54.2,3
49ers,371,4320,11.6,25,54,10,76,217,58.5,1
Dolphins,370,3937,10.6,24,40,4,70,207,56,3
Saints,370,3945,10.7,28,44,9,52,199,53.8,4
Raiders,369,4383,11.9,28,59,12,85,206,55.8,4
Vikings,349,4265,12.2,35,58,7,71,212,60.7,4
Eagles,334,3728,11.2,22,43,9,81,177,53,1
Giants,321,3336,10.4,12,36,5,53,178,55.4,3
Broncos,317,3673,11.6,21,49,11,92,176,55.5,6
Titans,316,3826,12.1,33,44,13,75,203,64.2,3
Browns,315,3701,11.8,27,45,5,75,195,61.9,6
Jets,292,3115,10.7,16,39,6,69,146,50,2
Patriots,283,3124,11,12,38,3,50,157,55.5,6
Ravens,257,2919,11.4,27,38,5,70,142,55.2,3
