Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Bears,551,2436,4.4,22,8,2,52,142,25.8,0
Giants,541,2049,3.8,17,6,2,51,120,22.2,0
Eagles,540,2556,4.7,10,17,2,52T,132,24.4,0
Redskins,515,2083,4,16,6,0,26T,117,22.7,0
Chiefs,504,1948,3.9,11,8,2,53T,104,20.6,0
Raiders,496,2028,4.1,20,8,3,88,110,22.2,0
Bengals,484,2120,4.4,16,13,3,56T,107,22.1,0
Chargers,484,2257,4.7,14,14,5,52,112,23.1,0
Bills,479,2080,4.3,20,12,4,80T,123,25.7,10
Jets,476,2127,4.5,16,11,1,41T,128,26.9,0
Saints,464,1850,4,14,3,2,60,107,23.1,0
Broncos,462,1872,4,19,6,0,37,126,27.3,0
Seahawks,457,1749,3.8,18,8,0,36,112,24.5,0
Steelers,456,1880,4.1,11,8,3,70,93,20.4,0
Vikings,455,1867,4.1,10,7,1,58T,106,23.3,0
49ers,454,1718,3.8,12,5,1,74T,107,23.6,0
Cardinals,452,1912,4.2,13,13,2,41T,115,25.4,0
Rams,422,1612,3.8,17,6,1,48,89,21.1,0
Falcons,420,1594,3.8,11,6,2,67T,84,20,0
Dolphins,420,1535,3.6,13,6,0,33,90,21.4,13
Buccaneers,410,1626,4,7,6,1,48T,83,20.2,0
Cowboys,393,1500,3.8,13,7,1,48T,88,22.4,0
Patriots,383,1398,3.6,4,6,0,29,65,17,0
Lions,366,1927,5.3,19,15,1,45T,112,30.6,0
Packers,350,1369,3.9,5,7,0,37,72,20.6,0
Browns,345,1220,3.5,10,3,1,42,74,21.4,0
Colts,335,1282,3.8,9,5,1,43T,81,24.2,0
Oilers,328,1417,4.3,10,3,0,31,97,29.6,0
