Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Texans,249,96,19,6,210,58.7,90,19.1,1127
Colts,235,94,13,7,195,54.9,77,19.4,1052
Chargers,231,97,15,5,230,52,79,20.1,1100
Eagles,230,91,16,8,193,47.6,110,24.9,1102
Jets,229,93,14,6,210,58,99,22.1,1074
Falcons,227,107,19,10,230,56.1,95,22.6,1073
Bills,227,86,16,7,155,52.5,122,24,1016
Browns,227,95,24,10,192,51.8,81,21.3,1042
Ravens,226,85,24,12,211,49.5,89,23.2,1083
Broncos,224,79,14,7,201,54.6,85,20.7,1056
Raiders,220,86,13,5,193,51.7,74,20,1008
Bears,219,93,10,6,177,53,108,23.1,1025
Saints,218,104,16,10,247,53.7,98,24.7,1096
Giants,217,82,16,9,208,53.1,77,19.1,1053
Redskins,216,94,12,7,208,53.9,81,18.9,1011
Patriots,215,88,15,9,229,56.7,87,22.7,1050
Niners,213,65,19,9,154,47.8,83,21.3,969
Seahawks,213,99,9,8,190,57.1,128,25.6,1035
Packers,208,70,21,11,173,49.7,100,22.9,1056
Jaguars,205,72,15,8,215,60.6,69,19.5,1012
Dolphins,205,63,22,8,194,53.2,72,20.9,977
Panthers,203,86,10,6,197,65.7,136,25.9,1060
Lions,203,75,14,7,236,56.2,71,20.1,1030
Buccaneers,202,84,13,7,201,64.4,99,21.8,1017
Bengals,201,81,12,7,191,57.2,99,21.2,1004
Titans,201,64,15,7,195,57,66,17.8,976
Rams,201,52,13,4,126,46.2,92,21.4,920
Chiefs,199,76,9,6,155,50,116,26.6,955
Vikings,199,76,11,5,153,52,113,23.8,973
Cardinals,198,93,9,4,237,67.1,92,20.4,1041
Steelers,193,75,12,4,207,52.9,91,23.4,1011
Cowboys,191,66,16,8,175,52.4,94,23,969
