Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Panthers,526,2282,4.3,19,11,3,47,136,25.9,8
Bills,509,2432,4.8,19,19,4,60,122,24,9
Seahawks,500,2268,4.5,10,12,2,69T,128,25.6,7
Vikings,474,2211,4.7,18,14,6,80,113,23.8,9
Texans,472,1731,3.7,7,7,1,41,90,19.1,5
Bears,468,1854,4,13,6,0,27,108,23.1,5
Bengals,467,1805,3.9,18,5,0,38,99,21.2,8
Buccaneers,455,2162,4.8,12,20,5,84T,99,21.8,9
Cardinals,452,1917,4.2,16,12,5,63,92,20.4,8
Jets,448,1868,4.2,11,13,2,58,99,22.1,6
Eagles,442,1743,3.9,15,12,2,63,110,24.9,10
Packers,436,1850,4.2,8,9,1,65,100,22.9,8
Chiefs,436,2044,4.7,19,13,2,52,116,26.6,5
Rams,429,1956,4.6,16,19,7,71,92,21.4,12
Redskins,429,1566,3.6,9,10,2,48,81,18.9,11
Falcons,420,1606,3.8,13,8,1,46,95,22.6,9
Broncos,411,1718,4.2,13,11,2,72,85,20.7,5
Cowboys,408,1890,4.6,8,17,3,50,94,23,7
Giants,403,1609,4,5,8,0,39,77,19.1,4
Saints,397,1491,3.8,16,6,2,70,98,24.7,3
Colts,396,1438,3.6,6,7,0,37,77,19.4,6
Chargers,393,1358,3.5,4,9,1,53,79,20.1,7
Niners,390,1544,4,7,6,2,47T,83,21.3,8
Steelers,388,1724,4.4,16,15,3,55T,91,23.4,5
Ravens,383,1478,3.9,8,7,1,44,89,23.2,6
Patriots,383,1404,3.7,14,4,0,38T,87,22.7,2
Browns,380,1529,4,5,10,2,54,81,21.3,5
Titans,371,1485,4,10,10,2,87,66,17.8,9
Raiders,370,1457,3.9,7,10,2,54T,74,20,6
Lions,354,1335,3.8,7,7,0,36,71,20.1,7
Jaguars,354,1473,4.2,5,8,1,45,69,19.5,9
Dolphins,344,1496,4.4,11,12,1,85,72,20.9,4
