Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Brett Maher,100,6506,509,78,78,21,24.2,0,0,1,0
Robbie Gould,95,5983,1040,47,49.5,47,22.1,0,0,1,0
Jason Myers,93,5838,780,54,58.1,37,21.1,2,0,0,0
Tyler Bass,92,5759,950,43,46.7,47,20.2,0,0,2,0
Jake Elliott,91,5893,736,63,69.2,28,26.3,0,0,0,0
Daniel Carlson,90,5548,582,57,63.3,29,20.1,3,0,1,0
Evan McPherson,90,5604,792,51,56.7,37,21.4,1,0,2,0
Greg Joseph,89,5640,890,54,60.7,34,26.2,1,0,0,1
Riley Patterson,88,5492,882,44,50,41,21.5,1,1,2,0
Jason Sanders,88,5486,665,61,69.3,24,27.7,3,0,0,1
Justin Tucker,86,5449,552,60,69.8,26,21.2,0,0,0,0
Graham Gano,84,5117,751,50,59.5,29,25.9,5,0,0,0
Eddy Pineiro,82,5137,738,46,56.1,33,22.4,1,0,2,0
Cade York,81,5032,598,50,61.7,28,21.4,3,0,2,0
Bradley Pinion,80,5143,471,59,73.8,21,22.4,0,0,0,0
Jake Camarda,78,4859,878,40,51.3,34,25.8,3,0,1,0
Matt Gay,77,4843,345,61,79.2,15,23,1,0,0,0
Joey Slye,77,4802,298,60,77.9,14,21.3,3,0,0,0
Ka'imi Fairbairn,75,4564,703,33,44,37,19,5,0,1,0
Wil Lutz,75,4554,520,48,64,23,22.6,4,0,0,0
Mason Crosby,74,4497,1350,15,20.3,58,23.3,1,0,0,0
Brandon McManus,73,4580,445,51,69.9,21,21.2,2,1,0,0
Chase McLaughlin,72,4682,783,38,52.8,34,23,0,0,0,0
Harrison Butker,68,4378,535,44,64.7,24,22.3,0,0,0,0
Jack Fox,65,4202,451,46,70.8,19,23.7,0,0,0,0
Randy Bullock,56,3541,516,31,55.4,25,20.6,0,0,0,0
Greg Zuerlein,56,3590,220,47,83.9,9,24.4,0,0,0,0
Cameron Dicker,55,3519,177,46,83.6,9,19.7,0,0,0,0
Chris Boswell,50,3075,588,21,42,27,21.8,1,0,2,0
Matt Prater,49,3098,335,34,69.4,14,23.9,1,0,0,0
Cairo Santos,49,3076,503,28,57.1,18,27.9,2,0,1,1
Jake Bailey,46,2949,389,28,60.9,18,21.6,0,0,0,0
Nick Folk,33,1953,823,3,9.1,28,29.4,1,0,1,3
Trenton Gill,27,1743,320,13,48.2,14,22.9,0,0,0,0
Rodrigo Blankenship,20,1303,23,17,85,1,23,0,0,2,0
Dustin Hopkins,19,1175,24,17,89.5,1,24,1,0,0,0
Austin Seibert,18,1096,281,3,16.7,14,20.1,1,0,0,0
Braden Mann,17,855,31,11,64.7,3,10.3,3,1,0,0
Matt Ammendola,16,1022,100,12,75,4,25,0,0,0,0
Taylor Bertolet,11,630,109,5,45.4,5,21.8,1,0,0,0
Matthew Wright,11,682,148,4,36.4,7,21.1,0,0,0,0
Dominik Eberle,7,396,0,5,71.4,0,0,1,0,1,0
Justin Reid,7,445,68,5,71.4,2,34,0,0,0,0
Ramiz Ahmed,6,370,65,3,50,3,21.7,0,0,0,0
J.K. Scott,6,387,26,5,83.3,1,26,0,0,0,0
Tristan Vizcaino,6,354,121,0,0,6,20.2,0,0,0,0
Josh Lambo,5,307,108,0,0,5,21.6,0,0,0,0
Caleb Shudak,5,315,14,4,80,1,14,0,0,0,0
Nick Sciba,4,232,67,0,0,3,22.3,0,0,1,0
Mitch Wishnowsky,4,240,57,0,0,4,14.2,0,0,0,0
Mike Badgley,3,70,14,0,0,1,14,2,0,0,0
Eno Benjamin,3,158,34,0,0,3,11.3,0,0,0,0
Ryan Stonehouse,3,180,10,2,66.7,1,10,0,0,0,0
Johnny Hekker,2,17,0,0,0,0,0,2,0,0,0
Thomas Morstead,2,147,59,0,0,2,29.5,0,0,0,0
Corey Bojorquez,1,79,50,0,0,1,50,0,0,0,0
Logan Cooke,1,45,0,0,0,0,0,0,0,1,0
Michael Dickson,1,65,14,0,0,1,14,0,0,0,0
Riley Dixon,1,43,0,0,0,0,0,0,0,1,0
Jamie Gillan,1,57,18,0,0,1,18,0,0,0,0
Sam Martin,1,63,20,0,0,1,20,0,0,0,0
Arryn Siposs,1,70,29,0,0,1,29,0,0,0,0
Tress Way,1,63,52,0,0,1,52,0,0,0,0
