Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Rams,380,5492,14.4,37,79,21,85,247,65,5
49ers,366,4400,12,32,61,9,69,211,57.6,6
Colts,357,4413,12.4,33,51,8,78,213,59.7,4
Broncos,354,4464,12.6,28,65,10,61,223,63,1
Jets,352,4023,11.4,23,50,8,63,192,54.6,2
Packers,348,3916,11.2,21,43,7,67,197,56.6,9
Redskins,343,3892,11.4,18,43,10,77,185,53.9,4
Chiefs,342,4408,12.9,29,59,8,81,207,60.5,6
Panthers,340,3850,11.3,19,47,2,54,201,59.1,6
Jaguars,333,3947,11.8,22,42,11,67,193,58,7
Eagles,331,3386,10.2,21,46,5,70,182,55,3
Patriots,328,3461,10.6,18,35,5,59,172,52.4,5
Cardinals,316,3478,11,16,41,11,70,156,49.4,6
Bills,312,3936,12.6,20,59,9,74,174,55.8,7
Giants,311,3610,11.6,22,46,7,59,195,62.7,6
Chargers,311,3540,11.4,19,41,9,83,156,50.2,3
Seahawks,308,3198,10.4,21,26,7,71T,168,54.6,4
Vikings,307,4019,13.1,33,57,12,78,193,62.9,5
Bears,304,3005,9.9,12,29,6,68,143,47,5
Saints,298,3573,12,22,42,8,53,169,56.7,4
Ravens,287,3102,10.8,20,37,8,59,156,54.4,4
Titans,286,3430,12,18,41,6,67,167,58.4,5
Falcons,285,3166,11.1,14,32,5,55,156,54.7,4
Raiders,284,3430,12.1,28,42,8,84T,177,62.3,2
Browns,278,2728,9.8,9,25,3,79T,110,39.6,6
Lions,277,2992,10.8,14,34,4,59,143,51.6,3
Cowboys,255,2771,10.9,14,33,6,76,128,50.2,3
Dolphins,243,2720,11.2,15,32,8,61,122,50.2,2
Buccaneers,237,2824,11.9,18,38,5,75,144,60.8,2
Steelers,217,2738,12.6,12,37,3,77,128,59,4
Bengals,207,2219,10.7,6,26,1,46,109,52.7,2
