Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Buccaneers,680,445,65.4,6,4062,26,17,214,31.5,47
Chiefs,610,401,65.7,7,4273,27,15,209,34.3,31
Chargers,559,357,63.9,6.7,3761,27,11,199,35.6,35
Steelers,563,355,63.1,6.5,3656,24,13,186,33,55
Bills,530,297,56,5.2,2771,12,19,138,26,42
Cowboys,612,364,59.5,6.6,4049,24,26,191,31.2,41
Raiders,606,400,66,6.2,3789,29,6,202,33.3,35
Dolphins,608,373,61.4,6.4,3871,23,14,199,32.7,48
Ravens,621,397,63.9,7.6,4742,31,9,232,37.4,34
Rams,625,416,66.6,6.6,4109,17,19,214,34.2,50
Jaguars,543,377,69.4,7.1,3875,24,7,198,36.5,32
Vikings,626,401,64.1,6.9,4300,29,16,224,35.8,51
Jets,587,401,68.3,7.5,4409,28,7,234,39.9,33
Panthers,515,337,65.4,6.3,3266,26,9,170,33,39
Lions,544,359,66,7.6,4160,31,11,211,38.8,30
Packers,603,379,62.8,6.2,3724,31,18,194,32.2,39
Giants,611,402,65.8,6.3,3839,27,15,216,35.4,34
Cardinals,561,367,65.4,6.5,3645,30,13,192,34.2,41
Falcons,577,391,67.8,6.8,3952,31,12,214,37.1,18
Bengals,626,420,67.1,6.7,4222,26,13,213,34,42
Football Team,597,400,67,7.3,4333,34,11,220,36.8,38
Texans,546,363,66.5,7.5,4117,27,17,218,39.9,32
Bears,477,314,65.8,6.8,3257,31,8,170,35.6,49
Broncos,562,341,60.7,6.5,3652,22,13,192,34.2,36
Titans,628,395,62.9,6.6,4169,24,16,204,32.5,43
Patriots,538,319,59.3,5.9,3181,21,23,176,32.7,36
Colts,597,390,65.3,6.7,3980,32,19,213,35.7,33
Browns,576,367,63.7,6,3439,29,13,184,31.9,43
49ers,545,372,68.3,6.4,3510,25,9,180,33,48
Saints,592,369,62.3,6.4,3821,20,18,185,31.2,46
Seahawks,658,443,67.3,6.9,4513,24,11,240,36.5,34
Eagles,589,409,69.4,6.4,3756,28,12,208,35.3,29
