Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Falcons,559,2718,4.9,17,17,4,44,152,27.2,8
Bears,558,3014,5.4,18,20,8,67,148,26.5,10
Eagles,544,2509,4.6,32,17,2,42T,161,29.6,7
Commanders,538,2143,4,9,8,0,33,124,23,8
Browns,532,2490,4.7,19,21,1,41,142,26.7,4
Cowboys,531,2298,4.3,24,17,3,57,129,24.3,2
Ravens,526,2720,5.2,14,18,3,79T,167,31.8,9
Giants,520,2519,4.8,21,15,2,68,150,28.8,5
49ers,504,2360,4.7,20,19,4,71,132,26.2,7
Steelers,500,2073,4.2,16,8,0,36,129,25.8,6
Titans,487,2131,4.4,16,13,4,56,104,21.4,7
Panthers,483,2210,4.6,16,15,3,60T,119,24.6,10
Lions,480,2179,4.5,23,12,7,58,114,23.8,5
Saints,465,1982,4.3,12,7,3,60,103,22.2,8
Packers,456,2113,4.6,12,10,1,46T,116,25.4,5
Jaguars,448,2116,4.7,16,15,6,62,114,25.4,9
Broncos,444,1935,4.4,11,7,1,52,105,23.6,10
Colts,439,1866,4.2,8,9,1,66T,91,20.7,8
Cardinals,434,1873,4.3,15,9,2,45,115,26.5,11
Bills,430,2232,5.2,15,20,2,44T,128,29.8,12
Raiders,428,2059,4.8,12,9,2,86T,122,28.5,5
Patriots,425,1812,4.3,12,11,2,49,98,23.1,8
Seahawks,425,2042,4.8,12,18,4,74,106,24.9,5
Chiefs,417,1970,4.7,18,10,1,52,105,25.2,8
Rams,411,1661,4,15,8,1,42,89,21.6,5
Jets,405,1686,4.2,13,11,2,62,79,19.5,4
Vikings,404,1661,4.1,18,5,3,81,93,23,5
Chargers,404,1524,3.8,15,6,2,72T,93,23,6
Bengals,399,1528,3.8,14,7,1,40,96,24.1,0
Texans,398,1476,3.7,7,7,2,75,90,22.6,10
Dolphins,390,1686,4.3,12,10,1,67,93,23.8,5
Buccaneers,386,1308,3.4,5,3,0,35,79,20.5,5
