Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Bills,214,82,20,11,121,26,1066
Broncos,209,66,21,7,68,15.9,952
49ers,221,95,12,10,108,22,1065
Cardinals,224,80,16,7,68,16.8,1007
Eagles,205,66,18,4,62,18.4,976
Colts,217,97,14,7,99,20.3,1026
Jets,221,82,11,5,88,18.9,1052
Jaguars,220,74,13,6,91,21.2,993
Giants,222,88,17,5,101,21.8,1052
Ravens,222,82,16,6,87,20,1045
Panthers,206,78,20,7,69,19.6,953
Browns,224,91,10,5,95,20.3,1026
Vikings,202,51,23,9,59,16.2,956
Rams,227,86,15,9,86,20.6,1020
Seahawks,222,85,15,7,90,19.9,1045
Packers,208,89,10,8,95,20.5,1014
Lions,194,74,15,8,110,25.5,1037
Texans,201,71,8,5,88,20,973
Steelers,199,72,19,6,89,23.1,940
Chargers,221,86,20,6,99,23,997
Bears,219,86,11,6,85,19.7,1003
Raiders,215,88,10,7,93,21.5,994
Redskins,226,83,15,9,105,22.2,1045
Cowboys,210,90,13,4,96,23.8,1000
Titans,214,78,16,10,68,17.1,1046
Dolphins,203,75,8,2,88,20.4,989
Patriots,208,82,23,10,98,25.1,1022
Bengals,241,98,19,9,111,22.7,1091
Chiefs,207,83,17,9,112,25.3,1044
Falcons,196,75,19,13,97,24.1,994
Buccaneers,216,104,9,2,102,23.2,1011
Saints,212,87,12,4,92,22.7,1002
