Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Falcons,442,1657,3.8,14,97,22
Chargers,386,1613,4.2,13,87,22.5
Jaguars,420,1460,3.5,14,94,22.4
Chiefs,461,1928,4.2,14,109,23.6
Bears,402,1590,4,7,77,19.2
Patriots,388,1507,3.9,11,67,17.3
Jets,453,2084,4.6,14,111,24.5
Redskins,492,2197,4.5,9,104,21.1
Broncos,447,1813,4.1,13,97,21.7
Seahawks,441,2029,4.6,12,102,23.1
Ravens,367,1214,3.3,5,59,16.1
Cowboys,429,1659,3.9,12,88,20.5
Saints,418,2063,4.9,10,96,23
Titans,506,2313,4.6,20,121,23.9
Steelers,408,1412,3.5,9,72,17.6
Giants,458,1830,4,19,106,23.1
Vikings,348,985,2.8,9,53,15.2
Colts,519,2768,5.3,20,150,28.9
49ers,473,1936,4.1,18,107,22.6
Bengals,448,1863,4.2,15,109,24.3
Packers,441,1825,4.1,12,95,21.5
Texans,446,1956,4.4,16,115,25.8
Rams,477,2327,4.9,21,121,25.4
Panthers,449,1737,3.9,10,96,21.4
Bills,476,2254,4.7,14,117,24.6
Cardinals,458,1897,4.1,16,114,24.9
Eagles,489,2182,4.5,12,126,25.8
Buccaneers,497,1917,3.9,11,108,21.7
Dolphins,461,1618,3.5,7,72,15.6
Raiders,542,2144,4,15,107,19.7
Browns,514,2275,4.4,14,107,20.8
Lions,492,2010,4.1,18,111,22.6
