Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Daniel Carlson,40,43,93,0/0,10/11,12/12,12/13,6/7,0/0,56,0
Chris Boswell,36,40,90,0/0,9/9,8/9,11/13,8/9,0/0,56,0
Nick Folk,36,39,92.3,0/0,9/9,11/11,11/11,5/8,0/0,53,0
Justin Tucker,35,37,94.6,0/0,7/7,9/9,13/15,5/5,1/1,66,0
Greg Joseph,33,38,86.8,0/0,8/8,11/12,7/9,7/9,0/0,55,0
Matt Gay,32,34,94.1,0/0,6/6,15/15,7/8,4/5,0/0,55,0
Jake Elliott,30,33,90.9,0/0,7/7,10/10,10/13,3/3,0/0,58,1
Dustin Hopkins,30,34,88.2,1/1,8/8,6/6,13/14,2/5,0/0,50,0
Matt Prater,30,37,81.1,0/0,11/11,9/11,3/5,6/7,1/3,62,0
Graham Gano,29,33,87.9,0/0,5/5,12/13,5/5,7/10,0/0,55,0
Greg Zuerlein,29,35,82.9,0/0,5/5,15/16,7/9,2/4,0/1,56,0
Tyler Bass,28,32,87.5,0/0,15/15,7/8,4/5,2/4,0/0,57,0
Evan McPherson,28,33,84.8,0/0,5/5,8/8,6/9,9/11,0/0,58,0
Younghoe Koo,27,29,93.1,0/0,8/8,9/9,6/7,4/5,0/0,54,0
Randy Bullock,26,31,83.9,0/0,5/5,12/12,8/13,1/1,0/0,51,0
Brandon McManus,26,31,83.9,0/0,7/8,6/6,8/8,4/8,1/1,61,1
Cairo Santos,26,30,86.7,0/0,10/10,5/5,11/13,0/1,0/1,47,1
Harrison Butker,25,28,89.3,0/0,3/3,11/11,4/5,7/9,0/0,56,0
Mason Crosby,25,34,73.5,0/0,9/9,9/13,4/8,3/4,0/0,54,2
Ryan Succop,25,30,83.3,0/0,11/11,7/8,7/10,0/1,0/0,48,0
Jason Sanders,23,31,74.2,0/0,6/6,7/9,8/10,2/6,0/0,51,3
Joey Slye,23,25,92,0/0,9/9,5/5,5/7,4/4,0/0,56,1
Matthew Wright,21,24,87.5,0/0,7/7,7/7,3/4,4/6,0/0,56,0
Zane Gonzalez,20,22,90.9,0/0,6/6,1/1,10/10,3/5,0/0,57,1
Robbie Gould,20,23,87,0/0,6/6,4/4,7/9,3/4,0/0,52,0
Mike Badgley,18,22,81.8,0/0,4/4,6/7,8/10,0/1,0/0,46,0
Jason Myers,17,23,73.9,0/0,2/2,9/11,3/5,3/5,0/0,53,0
Brett Maher,16,18,88.9,0/0,4/4,8/9,4/4,0/1,0/0,42,0
Ka'imi Fairbairn,15,19,79,0/0,4/4,5/5,2/4,3/5,1/1,61,0
Chase McLaughlin,15,21,71.4,0/0,3/3,4/4,4/10,4/4,0/0,57,1
Matt Ammendola,13,19,68.4,0/0,5/5,6/6,2/5,0/3,0/0,49,0
Riley Patterson,13,14,92.9,0/0,3/3,6/6,4/4,0/1,0/0,49,0
Rodrigo Blankenship,11,14,78.6,0/0,3/3,3/4,5/6,0/1,0/0,48,1
Brian Johnson,10,10,100,0/0,5/5,3/3,1/1,1/1,0/0,52,0
Austin Seibert,10,12,83.3,0/0,0/0,4/4,5/6,1/2,0/0,52,0
Eddy Pineiro,8,8,100,0/0,2/2,2/2,3/3,1/1,0/0,51,0
Tristan Vizcaino,6,7,85.7,0/0,3/3,2/2,1/2,0/0,0/0,46,0
Elliott Fry,4,5,80,0/0,0/0,3/4,1/1,0/0,0/0,44,0
Lirim Hajrullahu,4,5,80,0/0,2/2,2/2,0/1,0/0,0/0,35,0
Ryan Santoso,4,5,80,0/0,3/3,1/1,0/1,0/0,0/0,35,0
Chris Blewitt,2,5,40,0/0,0/0,0/0,1/4,1/1,0/0,52,3
Dominik Eberle,2,3,66.7,0/0,1/1,0/0,0/0,1/2,0/0,51,0
Aldrick Rosas,2,5,40,0/0,0/0,0/1,2/2,0/2,0/0,44,0
Chris Naggar,1,1,100,0/0,0/0,1/1,0/0,0/0,0/0,37,0
Alex Kessman,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Josh Lambo,0,3,0,0/0,0/0,0/0,0/1,0/2,0/0,0,0
Cody Parkey,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Bradley Pinion,0,1,0,0/0,0/0,0/0,0/0,0/0,0/1,0,0
Mitch Wishnowsky,0,1,0,0/0,0/0,0/0,0/1,0/0,0/0,0,0
